text	TextBlob	OpLexicon
tambem ja viu escolas alguns lugares sao enfim ta sacanagem votar dilma	neutro	neutro
perdi dia pastel caldo cana pra ver dilma ganhando porra	positivo	positivo
queda livre x ascensao segundo turno dilma aecio nao dilma marina pesquisas sao furadas	positivo	positivo
chupaaaa dilma trouxa aecio vai ganhar uhull	positivo	neutro
engracado povo vota dilma reclama certas situacoes passam	positivo	positivo
so vendo tml gente vota citando protestos ano passado pra dilma	neutro	negativo
aecio ganhar ate marina serve dilma filha capeta naooooo	positivo	neutro
en un resultado inesperado dilma y aecio neves van segunda vuelta en brasil	positivo	neutro
rj marina bem perto dilma votos apoiar vai ser bem vindo	positivo	positivo
ta decidido dilma porra otaria vaca odeio pega aecio segundo turno	negativo	positivo
nao to acreditando vou ter ter trabalho sair casa pra poder votar dilma aecio	neutro	negativo
governo dilma passou longe perfeito outros candidatos poderia ser menos pior nao acha	positivo	neutro
sei la vcs nao acha estranho dilma ajudar paises comunistas	negativo	neutro
fijate lo decia el diario clarin argentino amigo oglobo brasilero brasildecide dilma silva	neutro	positivo
agora vou ser obrigado votar dilma	positivo	negativo
aecio ganhar porra vcs votarem dilma brasil vai continuar msm n adianta reclamar	positivo	neutro
gente aecio dilma nivel problema agora ver menos pior	negativo	negativo
dilma poupou aecio turno derrubar marina agora vai enfrentar politico profissional boa	neutro	negativo
dilma aecio ta tudo otimo imagina marina meio deus q livre	positivo	positivo
pau cu destroi metade brasil justica clica porra maquina numero dilma vao fode	negativo	negativo
moral anos reclamando falando brasil lixo pra chegar hoje votar dentuca dilma	negativo	negativo
voce acha nao poderia ficar pior dilma aecio segundo turno	negativo	negativo
vai burro dilma eleita faco video preciso externar raiva q desse povo	negativo	negativo
negocio pt tudo birrinha sabe dilma melhor fica nessa so p ser contra	positivo	positivo
aecio ganhar pq qualquer coisa vai ser melhor dilma	positivo	positivo
matem anotem dilma vai ganhar agora daqui anos lula ganha tbm dps anos reelege anos puro pt hmm delicia	positivo	positivo
brasileiro povo burro dilma indo pro segundo turno ganhando ainda	negativo	negativo
li gente falando tentou votar aecio apareceu dilma tao trovando nao existe democracia agora	neutro	negativo
nao sei eh pior aecio dilma brasil excelente candidatos d smp p smp	positivo	neutro
aecio q ganhar anos dilma deus meee livre	positivo	neutro
aecio q vencer dilma novo nao	positivo	negativo
dilma aecio vao disputar segundo turno	neutro	negativo
dilma vai ganhar povo tudo burro nao serve pra votar	positivo	negativo
nao sei pior dilma aecio affz ninguem merece	negativo	negativo
serio gente mineira to falando dilma aecio fiquem dilma	negativo	neutro
tao bom minas peso votou dilma	positivo	positivo
aecio forte esperado neste cenario provavel dilma perca turno	negativo	positivo
dilma nao pode ganhar serio	negativo	neutro
dilma aecio lembre melhor diabo voce conhece povo ta achando nao pode piorar	positivo	positivo
prefiro marina aecio tbm parece ser pior dilma agr pqp votou dilma q tomar n cu bonito desculpaaemae	negativo	neutro
votou agora luciana pra apoiar sabia ia ter segundo turno vai votar dilma	negativo	neutro
vcs falando dilma permitiu comprar casa amiga permitiu tanto imposto pessoa morre pagando casa carro acordem	positivo	negativo
engracado argumento povo ai vcs ruas ano passado p votar dilma hoje querida presidente nao governa sozinho	positivo	negativo
oqq cabeca pessoa p votar dilma pezao	neutro	negativo
agora q venca aecio q dilma quatro anos nao vai dar certo	positivo	positivo
votou marina vai votar dilma votou namelia vai votar sartori omg	neutro	negativo
dilma rousseff aecio neves definidos turno vou pensa votar	neutro	negativo
genteeeee to chaaaaao destruido vai ser aecio dilma ne putos	neutro	negativo
dilma aecio segundo turno nao sei pior	negativo	negativo
dilma aecio vao disputar segundo turno	neutro	negativo
tudo pra chegar votar dilma	neutro	negativo
euvoteimarina infelizmente dilma vence facil turno	positivo	positivo
aecio dilma tudo mesma merda vamos votar nulo	negativo	negativo
vcs falam tanto aecio professores dilma faz algo p valorizar servidores publicos	positivo	positivo
povo fez protesto caralho ano passado pra ano levar dilma pro segundo turno puta pariu	negativo	negativo
contar q governo dilma deixou inflacao completamente abalada ainda age normal	positivo	neutro
visto vou ter anular voto pra presidente segundo turno votar dilma aecio hipocrisia grande rs tenso	negativo	negativo
definido dilma pt aecio psdb vao disputar segundo turno	negativo	negativo
acho q ate bom aecio ganhar vcs perceberem q dilma n ruim comparado outros anos p vcs perceberem tudo	positivo	neutro
antes nao estaria preocupado quica tricolor bucha maximo tricolete anda histerico dilma	negativo	negativo
serio dilma vai ganhar bosta novo to acompanhando eleicoes merda	positivo	neutro
serio alguem ficou surpreso dilma aecio segundo turno	negativo	neutro
achando q marina dilma segunndo turno triste ai vc ve q vai aecio n marina pqp	negativo	negativo
todas manifestacoes ainda votam dilma iluminem ser humano desse	neutro	positivo
moral voces sao burros p caralho burros votou dilma	negativo	positivo
tudo pra chegar hoje votar dilma povo nao aprende	neutro	negativo
votei aecio to feliz pra crl serio so pena saber q ainda gente q vota dilma nao conformo	positivo	positivo
brasileiro foder vao la po fazer manifestacao novo votar dilma	positivo	negativo
fez cola tao bonita pro pessoal votar dilma	positivo	negativo
povo cabeca pra votar dilma	neutro	negativo
confirmado dilma aecio vao pro segundo turno diferenca ridicula otimo	positivo	neutro
cris petista distorce favor pt humano quero dizer parte natureza humana louca lula dilma	negativo	positivo
dilma aecio segundo turno so faltava dilma vencer	positivo	negativo
melhor coisa aecio turno marina dilma preferiria morte lenta	positivo	positivo
la campaanti dilma fue bestial aprovecharon grandes escenarios ir en su contra	negativo	neutro
vai social vota dilma vai lado economico aecio	positivo	neutro
quero saber ta feliz vitoria dilma	positivo	positivo
thankyoudforthewwat primeira vez vou votar dilma	positivo	negativo
acha certo votar dilma fdp	positivo	neutro
pessoas votaram marina falando mal votaram dilma mesma coisa sujo falando mal lavado	negativo	neutro
rj rs tbm votaram dilma nao so nordeste nao votadores tiririca	neutro	negativo
povo burro idiota coerencia povo vem reclamando protestando anos sobre governo dilma ai	negativo	negativo
parar pra pensar dilma aecio estao segundo turno votou marina vai votar aecio	negativo	negativo
ruim dilma pior t r i s	negativo	negativo
dilma partido malandro pode ate ganhar maioria congresso sentindo aliviada	positivo	neutro
brasil pais onde pessoas fodem nao aprendem legal elegerem dilma novo parabens pra voces viu	positivo	positivo
nao acredito dilma vai ganhar	positivo	neutro
vamos ser realistas ne mores dilma vai ganhar pq infelizmente maioria vota nela	positivo	neutro
puta pariuu povo burro turno dilma aecio pqp tmc	negativo	negativo
dilma votos sao paulo vai ver porque governo excelente ne	positivo	positivo
voto aecio pra nao votar dilma	negativo	negativo
idiota dilma nao pode ganhar	negativo	negativo
dilma menos pior favor	negativo	negativo
tanto faz ganhar dilma aecio so espero facam alguma coisa melhore brasil servicos publicos	positivo	neutro
entao gente tchau segundo turno aecio dilma confirmados pode deitar chao chorar ja	positivo	neutro
fala serio aecio dilma n sei pior	negativo	negativo
dilma aecio vao disputar segundo turno	neutro	negativo
tudo pra chegar hoje votar dilma ta louco	negativo	negativo
boca urna ibope mostra turno sera dilma aecio msnpt brbbhn i aecio neves dilma vai ver bom	neutro	positivo
pessoas q pra rua votam dilma tao coerente quanto homossexuais q desejam ter familia legal igualdade votam marina	positivo	positivo
vaiam dilma durante copa protestaram contra reclamaram governo anos inteiros povo burro pede p sofrer	negativo	negativo
quantos estados existem brasil ne so causa nordeste dilma vai ganhar perder nao querido	positivo	neutro
pra vcs nao gostam dilma pensem bem antes pedir pais governado aecioporto po	neutro	positivo
fecho agora votar dilma aecio	neutro	negativo
porra nao acredito dilma vai ganhar novo	positivo	neutro
pregunta la ven dilma la segunda vuelta complicado	positivo	negativo
gente idade pra votar querendo pagar sei tudo icon dilma toca	neutro	negativo
menos pior dilma vcs quer faca	negativo	negativo
pessoal eleitores marina nordeste probabilidade votar dilma exemplo disso pernambuco dilmapravencer	neutro	negativo
odiar dilma aercio coisa odiar nordestinos outra	negativo	positivo
nao acredito aecio dilma vao pro segundo turno	negativo	negativo
amor deus tarso dilma precisam ganhar senao certeza q pai troco	positivo	neutro
revoltante ver pessoal nordeste vota pra dilma causa bolsa familia	negativo	negativo
globo news afirma marina sao paulo segundo turno nao irao dilma petistas estao falando vou contestar	negativo	neutro
vei dilma ganhar brasil ta fudido	negativo	neutro
erro ibope comprado ontem dilma hoje ontem aecio hoje ontem marina hoje ontem veiga hoje	neutro	neutro
primeiro gente fala q globo eh coisa alienado acredita tudo q falam dilma ta parabens viu	positivo	negativo
sim cara nego ta tao cego c q n percebe q n dilma vai ser cara tao corrupto	negativo	negativo
dilma marina ainda alguma chance marina ganhar vai ser aecio dilma	positivo	neutro
fico puta vai rua fazer protesto vota dilma algo errado ai ne	neutro	negativo
to vendo ja dilma vai ganhar sa bosta	positivo	neutro
der dilma novo mudo p egito	neutro	neutro
votei marina infelizmente dilma vai ganhar fizeram tanto protesto pra nada	positivo	neutro
caramba dilma nao pode ganhar vez	negativo	neutro
dilma aecio boa sensacao ganhar prazo	positivo	neutro
dilma aecio segundo turno dificil escolher	negativo	negativo
mano vcs parassem ser falsos fazessem q falam lucianinha vcs tava turno c dilma massss ne acho bom	positivo	positivo
vo anular voto uu recuso dilma aecio uu	neutro	negativo
definido dilma pt aecio psdb vao disputar segundo turno globoswqslt eleicoes g marina pf n apoie ngm	negativo	negativo
burrada achar aecio vai ser melhor dilma	negativo	positivo
so come muita merda pra preferir aecio dilma	negativo	neutro
campanha nazista aecio dilma contra marina votarei nulo	neutro	negativo
impeachment dilma queriam faze ano passado	neutro	negativo
ia votar dilma baidu instalado tambem fez mesma coisa danilo gentili	neutro	negativo
aecio dilma segundo turno serio	negativo	neutro
odeio pobres mal informados so vota dilma medo perder bolsa familia	negativo	negativo
vo votar dilma bjoks pra vcs forapt	neutro	negativo
pfvr vao falando varios motivos pq dilma melhor aecio pq to dando menina nao acredita mim	positivo	neutro
dilma aecio serio serio	negativo	neutro
admiro fhc pra caralho embora achado mandato merda ja aecio desprezo dilma nao excelente	negativo	positivo
dilma x aecio segundo turno povo burro falo	neutro	negativo
dilma segundo turno assim caralho quebraram rio janeiro todo pra votar nela novamente	negativo	negativo
pior ta nao fica dilma ganhar sim	positivo	negativo
segundo turno decidido dilma aecio	neutro	positivo
dilma aecio segundo turno dilma gente dilma vao foder	neutro	negativo
nao curto dilma nao sei pq tbm dizer nao fez nada mano ai tbm eh demais ne	neutro	neutro
tudo pra chegar hoje votar dilma	neutro	negativo
merval disse votacao marina sao paulo nao ira dilma	neutro	positivo
pior nao dilma pior luciana genro preocupante	negativo	negativo
olha urnas ai dilma ganha lavada dificil nao pensar diferente	neutro	negativo
gente tela dizendo aecio melhor dilma rico come lixo	positivo	positivo
dilma aecio neves segundo turno aqui esperando duardo jorge presidente vcs vem ai decepcao vcs	negativo	negativo
segundo turno dilma aecio mds dificil saber pior kakakakaka	neutro	negativo
povo burro otario lesado agora todos vamos tomar naquele lugar dilma governando outra vez bando antas	neutro	negativo
agora sabemos vai aecio dilma pro segundo turno devo votar	negativo	negativo
dilma aecio segundo turno prova brasileiro burro gosta ficar merda	negativo	negativo
cacete turno dilma aecio	negativo	negativo
dilma aecio segundo turno nao sei eh pior	negativo	negativo
legal q hora pra outra todo mundo viro super consciente anti dilma entendedores politica	positivo	positivo
urnas apuradas dilma aecio vao disputar turno owlyciwwr	neutro	negativo
dilma vencer	positivo	negativo
chance tinhamos alguem diferente poder ficou resumindo dilma arrematara votos nordeste sera reeleitapalpite	neutro	neutro
votou dilma eh td pobre medo perder bolsa familia	negativo	negativo
dilma rousseff pt aecio neves psdb vao disputar presidencia republica turno bandnewstv eleicoes	neutro	negativo
dilma ganhar mato muie sata	positivo	neutro
dilma aecio devem disputar segundo turno presidencia momento verdadeiro momentoverdadeirodilma aecio devem disputar segundo turno presidenciahtml via	positivo	positivo
votar dilma eh voto dilmais	neutro	negativo
sao paulo diz nao pt rumo segundo turno dilma x aecio	neutro	positivo
dilma pt aecio psdb vao disputar presidencia turno reporterenaseleicoes	neutro	negativo
dilma aecio segundo turno nada obvio	negativo	neutro
ser pobre pra votar dilma	negativo	negativo
pensei unica anormal torcendo p dilma ganhar	positivo	negativo
sim acho fim	neutro	neutro
votar dilma prova otario	neutro	negativo
uns casos fortaleza urna tava problema ashuhusahusa tava indo direto pro numero dilma oh putaria	positivo	neutro
deploravel regiao onde analfabetos dependentes bolsa familia responsavel levar dilma	positivo	neutro
dilma vai ganhar nao	negativo	neutro
dilma ganhar nunca acredito nesses protestos brasil inteiro tava fazendo	positivo	neutro
nao entendo problema votar dilma estudante	neutro	negativo
ridiculo povo pras rebelar ano passado agora vota dilma hipocrisia foda	negativo	negativo
dilma eh caralho porra povo brasileiro burro	negativo	negativo
dilma pq menos pior segundo ndjsksks zz	negativo	negativo
voces votaram dilma pro protesto ano passado hipocritas	neutro	negativo
resultado surpreendente osasco tradicional reduto petista dilma rousseff pt ocupa apenas terceira	positivo	positivo
nao gosto dilma caralho voces sao hipocritas	negativo	positivo
mimimi toda manifestacao pra votar dilma aecio marina puta candidatos	negativo	negativo
podia ser pior podia ter dado dilma marina segundo turno estariamos correndo serio risco pais governado malafaia	negativo	neutro
dilma aecio vao disputar segundo turno siga vivo globophcpsy eleicoesglobonews	positivo	neutro
sao paulo pt aecio neves cola dilma ai brasil mostra forca bota estrela vermelha pra correr	neutro	positivo
pessoa favor protestos ano passado votou dilma parabens integridade requisito consciencia vergonha cara	neutro	negativo
aecio ganhar dilma segundo turno fujo desse pais	positivo	neutro
visto idiotas brasil incluo fizeram burrada dnv caralha dilma vai ganhar aecio	negativo	neutro
menos conforta saber segundo turno dilma nao ira ganhar porque acredito assim	negativo	neutro
porraaaaaaaaaa dilma novo porra bolsa familia nao querem perder	negativo	negativo
segundo turnoooooooo ja decidido dilma aecio	positivo	positivo
dilma ganhar preparem pro inferno	positivo	neutro
aecio merecia povo brasileiro nao percebeu dilma vai afundar brasil	neutro	positivo
voce votar nulo ajuda maldita dilma	neutro	negativo
vou arrumar adesivo vou passar frente daqueles filho puta ficam fazendo campanha pra dilma frente catedral	neutro	neutro
agora babacas fizeram protesto votem dilma novo bando boco terceira guerra mundial pra voces	positivo	negativo
segundo turno aecio ira atropelar dilma	neutro	negativo
gente fala n votar dilma ingrato pq prouni	neutro	negativo
nao entendo logica povo brasileiro protestaram ate nao poder hoje votaram dilma sera gigante acordou	neutro	neutro
dilma ganhar dnv brasil vai dever cartaz protesto	positivo	neutro
le tml cinco minutos so gente falando protestou tanto pra votar dilma novo	positivo	negativo
foda galera fala prefiro dilma arriscar alguem pior afe cara	negativo	negativo
ai povo faz tudo pra final votar dilma brasileiro merece sofrer	positivo	neutro
protestam ano inteiro ai vao la urna votam dilma pa ra bens	positivo	negativo
sim dilma aecio marina ja dilma agora acho luciana otima vdd socialismo mt radical	positivo	neutro
dilma aecio segundo turno vcs podem votar pensem bem amor deus	positivo	negativo
pede mudanca fala q gigante acordou porem vota dilma	neutro	neutro
vejo tanto gente tl pras ruas protestar ta nessa dilma melhor amorrr	positivo	positivo
dilma precisa ganhar porra	positivo	neutro
pooow malena dilma explica pra q fizeram toda ocnfusao ano passado pra votar pt novo	neutro	negativo
quero brasil foda agora dilma vai terminar afundar pais parabens pra votou nela	negativo	positivo
dilma competente candidatos	positivo	positivo
povo ignorante reclamou tanto hora urna votou dilma	negativo	negativo
fazem puta protesto fica dias ruas pra chegar dia eleicao votar dilma	neutro	negativo
maaaan	neutro	positivo
odeio dilma odeio aecio dois melhor deixar merda instavel jeito ta ha anos	negativo	neutro
brasil ta fundo poco sim dilma continuar topo brasil so vai afundar	positivo	positivo
curral eleitoral obrigacao eleger dilma primeiro turno nao conseguiu acho algo errado	positivo	negativo
quero ver rolar debate aecio vai destruir dilma	negativo	neutro
gigante acordou votou dilma voltou dormir agora anos preparando malas paris to chegando	positivo	neutro
gnt nao queira dilma vai ganhar aceitem doi menos	positivo	neutro
sinceramente dilma aecio vo vota dilma qualquer dois ganhar vai mesma merda	positivo	neutro
engracado vc veio falar nordeste causa dilma mente tao pequena tao futil parece q nao sabe	neutro	neutro
ta vendo dilma aecio nao voto morto aecio euvoteimarina	positivo	negativo
infelizmente nao faco parte elite brasileira pra votar aecio nao familia eh funcionario publico dilma	positivo	negativo
dilma vai ganhar obaaaa ja sabia podem chamar qualquer coisa dilma	positivo	neutro
culpa nordeste nordestinos morre bolsa familia morto fome dilma aecio euvoteimarina	negativo	negativo
ter q votar aecio pra dilma n ser reeleita triste saida	negativo	negativo
olha pior dilma aecio so galera endeusando luciana ta foda	negativo	negativo
agora cada defina melhor tatica aecio todos contra dilma comecando agoran to nessa	positivo	positivo
nessa ferrou atacou demais dilma nisso iria votar marina pt pensou vou aecio entao	neutro	negativo
sim porque nada virou defensor dilma auhauhauhauhuaha	neutro	positivo
nao sei pior dilma aecio	negativo	negativo
dilma capaz vir pra sc pedir voto trouxa ainda votam nela	negativo	positivo
sei melhor vc votar dilma	positivo	neutro
amiga pra vc ve nao tao errada assim aecio tao competente proprio estado votou dilma	positivo	positivo
estao surpresos dilma estar ganhando minas saibam belo horizonte	positivo	positivo
incrivel gente defendendo dona dilma	positivo	positivo
trabalhador brasileiro gosta sofrer so pode povo reclama todo dia inferno pais ai pessoa vai la vota dilma pqp	neutro	positivo
n sei q pior dilma ganhar aecio ganhar pra tirar sapata to aceitando qualquer merda	positivo	negativo
sei la dilma mandou bilhoes reais pro porto cuba nao afeta leitura chorume comunismo eh bom ne fera	positivo	positivo
vi gente usa fies mcmv votando aecio falando dilma tava ruim pro brasil	negativo	negativo
sao paulo dilma rousseff marina silva empate tecnico	neutro	positivo
reclama dilma vota aecio sabe nada inocente	positivo	positivo
ai mae diz q diolma ganhar vai ver mudarmos p outro pais vai dilma	positivo	neutro
hahahahaahahahahaa rindo p ia votar edu nao lembrava numero hahahaha fiquei dilma	positivo	negativo
okay dilma nao melhor votar votar aecio muita burrice	positivo	negativo
vem falar quer brasil melhor melhor votando dilma	positivo	positivo
dilma obvio ia ser nulo outros n sei amiga	neutro	negativo
aecio tanto fala governos maravilhosos minas perdeu pra dilma proprio estado hahahaha patetico	positivo	negativo
nao votei dilma	positivo	neutro
aii criatura passa quatro anos reclamanfo dilma ai vai vota nela criatua erra humano percisti erro burrice	positivo	positivo
melhor dilma marina aecio menos brasil nao vai ficar bosta ja ta	positivo	positivo
so quero ver gente sofrer anos causa varios retardados votaram dilma emabiggestfansjustinbieber	negativo	neutro
criatura vota dilma quer brasil melhor vai entender	positivo	positivo
pois ta hora desmentir dilma ja quero dilma recorrendo bolsa familia pra n responder rs	neutro	negativo
marina tira votos aecio dilma bem capaz ate obvio votos voltem pro aecio	positivo	positivo
nao creio q ainda gente dizendo q vai votar dilma segundo turno	negativo	negativo
galera nao votou aecio vai votar dilma hein	neutro	negativo
dilma vai ganhar nao esquecam reclamar proximo ano vcs votaram nela ein so pra nao perder costume	positivo	negativo
velha politica wins rt polarizou esquerda contra direita trabalhador contra burgues pt contra psdb dilma contra aecio dilma	positivo	neutro
bom segundo turno dilma x aecio todos votantes racionais outros candidatos iriam votar aecio	positivo	neutro
decidido dilma vs aecio	neutro	positivo
torco resultado segundo turno tire pt melhor dilma jogada ficareiagradecida	negativo	positivo
cara fudeu recuso votar dilma aecio	negativo	negativo
so sei coisa dilma aqui sao paulo nao aqui nao	neutro	positivo
nao sei pior aecio dilma	negativo	negativo
vcs vao votar dilma	neutro	negativo
nao nada contra aecio votei nele pro governo mg pro senado so acho dilma melhor marina hein rs	positivo	positivo
pois nao gosto nenhum pt ja deu tenso aguentar dilma anos	positivo	negativo
hipocrisia nao votasse dilma trabalho poder publico estadual tudo gracas bom emprego	positivo	positivo
amem definido dilma pt aecio psdb vao disputar segundo turno globoswqslt eleicoes g	negativo	negativo
cara odiar dilma votar aecio so pra perder ate entendo votar orgulho defender cara	negativo	negativo
povo burro votar dilma	neutro	negativo
gigante acordou gigante acordou ai vao la votam dilma licenca	neutro	negativo
pode mudar ser apertado etcacho turno sera tipo lula x alckmin dilma vai ganhar muita margem sobre aecio	positivo	neutro
atualizado dilma aecio marina corinthians sao paulo	neutro	positivo
tanto dilma quanto aecio vao arrombar gente fudeu	neutro	negativo
palhacada vem pra rua votar dilma	neutro	negativo
recuso ta pais dilma sendo reeleita tambem nao deixo votar aecio tamo merda so mergulhar	negativo	negativo
vcs reclamam brasil atualmente votam dilma novo pq vcs nao vao tomar cu	neutro	negativo
surpresas virada aecio ganhando rondonia roraima dilma deve ter ignorado vacilado d populacao	neutro	negativo
espero todos vcs votaram dilma reconhecam erro filhos vcs precisarem esperar atendimento digno ama	neutro	positivo
melhor aecio ne so queria entender tudo voto dilma tendo tanto protesto contra xingando estadios	positivo	positivo
sobre aecio voce vai ver sim dilma pessima aecio pra ficar pior certeza	negativo	negativo
povo falo tanto mal dilma voto nela novo vai ganhar ainda	positivo	neutro
aecio vai perder artilharia pt dilma so marina silva resistiu infelizmente povo brasileiro nao enxergou euvoteimarina	neutro	negativo
votem aecio porque votar dilma sacanagem	positivo	negativo
nao gosta dilma facil entao cara pega ignora hora comprar coisa ignora beneficios fiscais	positivo	positivo
tanto protesto pra votarem dilma vao tomar cu	positivo	negativo
duas coisas explicam resultado anti pt consolida maior partido politico pais tatica dilma debate fiasco	positivo	negativo
cara vaia dilma faz espetaculo todo quebrando banco caralho quatro agora vem votar dilma vcs sao tudo falsa	negativo	neutro
sim duvido dilma ganhe nao votaria aecio atual circunstancia melhor tentar mudar aguentar	positivo	positivo
ver cara pau apoiar dilma cansou falar mal velha politica etc	negativo	positivo
gracas dilma q fez campanha pra heloisa helena mt superior	positivo	positivo
nao sei pode tanta gente querer votar dilma ainda	positivo	negativo
nordestino burro pq votou dilma paulista inteligente pq votou aecio poupe	positivo	neutro
cade homos pra votar dilma cade cade	neutro	negativo
ta decidido aecio x dilma	neutro	positivo
euvoteimarina coisa errada nessas eleicoes porra assim dilma ta ganhando vsf brasileiro burro demais	negativo	negativo
aecio melhor dilma amiga vc lembra governou minas gerais nao ne ata	positivo	positivo
coitado olivio ate votado nele nao mimimi tarso dilma coitado ia pra la so arrasto	negativo	positivo
amigos brasileros familia si perde dilma estaremos complicado vamos dilma carlho	negativo	negativo
voces fizeram todas manifestacoes gigante acordou tudo pra votar dilma novo eh algum tipo brincadeira	positivo	negativo
vao tomar cu vcs tao falando faz protesto vota dilma juntar todo mundo protestou nao pais todo	positivo	negativo
sobre resultado fiquei triste precisamos mudancas votar dilma ver pais lugar	negativo	negativo
rt definido dilma pt aecio psdb vao disputar segundo turno globoswqslt eleicoes g	negativo	negativo
tudo menos dilma cara serio	negativo	neutro
gente nao deu pra marina agora vamos votar aecio vamos la mudanca verdadeira tirar dilma poder	positivo	negativo
cade q ta povo q tava xingando dilma estadio fazendo protesto ano passado	neutro	negativo
nao acredito manipular votos familia toda dilma fica rj	neutro	positivo
dilma deveria ganhar so acho	positivo	neutro
nao aguento ver dilma estar ganhando nao duvido tudo beneficiado casa vida bolsa familia forapt foradilma	positivo	neutro
estudo esd entao so pt pt corrupto dilma corrupta sapatao etc	negativo	negativo
dilma vai ganhar melhor aecio ganhar resolver privatizar tudo pior ta nao fica falar mal dilma virou modinha	positivo	neutro
vota nulo msm coisa vota dilma	neutro	negativo
la presidenta brasil y candidata la reeleccion el partido los trabajadores pt dilma venezuela	neutro	negativo
diz motivo pra votar dilma anos retrocesso	positivo	negativo
nao reclamar dilma querer votar aecio roubou dinheiro publico minas marina nao sabe fala	neutro	negativo
dai pergunto burro suficiente pra ainda votar dilma	negativo	negativo
calma acho dilma vai ganhar	positivo	positivo
nesse exato momento calafrio humano sobe espinha dilma toda corja pt	positivo	positivo
sendo morrer aecio perder vida dilma	neutro	negativo
votaria dilma pq vida horrivel governo fhc masssss nao transferi titulo eleitor pra sbc	negativo	negativo
quero q dilma ganhe pq trabalho gracas programa jovem aprendiz ano q vem quero ir trampa banco emabiggestfansarianagrande	positivo	neutro
serio dotar tudo povo ainda capacidade votar dilma	negativo	negativo
eleicoessabe oq foda dilma ser tao impopular internet estar frente apuracao votos	positivo	negativo
votos nao vao pra dilma	neutro	negativo
eleicoes rio janeiro desastre romario jean wyllys freixo wag montes pra dilma vai votar mal assim la minas	negativo	negativo
nao entendo gente ainda vota dilma ta querendo protestar pq acha ruim sinceramente	negativo	negativo
vai tomar cu beeeem gostoso pra rua ano passado protestar contra dilma merda governo hj votaram	negativo	neutro
nao quero ver buraco pernambuco vai afundar aercio ganhar entao aqui team dilma acho ruim torco novo	positivo	neutro
sao paulo dilma praticamente empatada marina quase ficou terceiro lugar forapt eleicoes	neutro	positivo
duvidas q bom creio q sera menos pior q dilma	positivo	neutro
gigante acordou pra votar dilma	neutro	negativo
fogos todos nao sao pra dilma nao ne espero	neutro	positivo
fizeram todos protestos ano passado pra chegar hora fazer certo votarem dilma olha decepcionante	negativo	negativo
seadilmaganharosonibusvaoqueimar tudo pra chegar idiotas votarem dilma ooo povo burro	negativo	negativo
milhares pessoas vao protestar brasil melhor pra agora eleicoes dilma aparece votos	positivo	neutro
otarios q vaiaram dilma copa sao q votaram nela falo nada	neutro	positivo
ceis tao louco tudo ainda votam nesse pandemonio dilma	negativo	negativo
nao dilma so acho estranho aecio nao ganhar mg	positivo	neutro
