Text,Sentiment,free
nao aguento ver dilma estar ganhando nao duvido tudo beneficiado casa vida bolsa familia forapt foradilma,Neutral,Negative
dilma vai ganhar melhor aecio ganhar resolver privatizar tudo pior ta nao fica falar mal dilma virou modinha,Neutral,Neutral
quero q dilma ganhe pq trabalho gracas programa jovem aprendiz ano q vem quero ir trampa banco emabiggestfansarianagrande,Neutral,Neutral
vai tomar cu beeeem gostoso pra rua ano passado protestar contra dilma merda governo hj votaram,Neutral,Negative
nao quero ver buraco pernambuco vai afundar aercio ganhar entao aqui team dilma acho ruim torco novo,Neutral,Negative
duvidas q bom creio q sera menos pior q dilma,Neutral,Neutral
milhares pessoas vao protestar brasil melhor pra agora eleicoes dilma aparece votos,Neutral,Negative
nao dilma so acho estranho aecio nao ganhar mg,Neutral,Neutral
esquerda contra direita trabalhador contra burgues pt contra psdb dilma contra aecio segundo turno dilma,Neutral,Neutral
c dilma ganhar segundo turno ai vou ter certeza q tudo esquematizado,Neutral,Neutral
nao vidente petista gosto politica nao precisa muita coisa pra saber dilma vai ganhar dnv,Neutral,Neutral
vc percebe nao ta facil qndo votar aecio pra nao ver dilma reeleita eleicoes,Neutral,Negative
mesmas pessoas q manifestaram ano passado sao mesmas q votaram dilma parece q merda cabeca,Neutral,Negative
acho dilma preferia ir aecio p segundo turno p falar igual p igual,Neutral,Neutral
serio vcs gostam dilma escrotas,Neutral,Neutral
ces protestar rua votaram dilma serio,Neutral,Negative
dilma aecio segundo turno gigante pessoal voltou hibernar vergonha povo,Neutral,Neutral
dilma oculus rift igual pewdiepie tambem votava nela,Neutral,Neutral
falta escolaridade nisso dilma liderando votos norte nordeste pais povo gosta sofrer,Neutral,Neutral
tao falando q nordeste devia ser excluido pais q maioria q votou dilma sao nordestino so vivem bolsa familia,Neutral,Neutral
ano conhecido gigante acordou ae certeza pq voltaram dilma bosta,Neutral,Neutral
farei boa prova matematica amanha sabendo dilma possibilidades ganhar turno,Neutral,Neutral
vai ser muita cagada diaba dilma ganhar,Neutral,Neutral
voces sao daquele papinho dilma dinheiro pra nao quer trabalhar ai voces deem unfollow agora porque elitista enoja,Neutral,Neutral
dilma ganhar so vai ser pra provar quanto brasileiro otario,Neutral,Negative
dilma nao fez nada vai fazer poha ent melhor arriscar cara nova manter governo corrupto caralho ignorantes merdas,Neutral,Neutral
pior consigo enxergar aecio cagando brasil glr quatro anos falando governo melhor dilma,Neutral,Neutral
serio q todo mundo ruas protestar contra governo dilma quase vencendo primeiro turno,Neutral,Negative
caralho dilma ganhando cade gigante acordou down so pose,Neutral,Neutral
gente nao aecio tava frente grande merda eleicoes dilma vai ganhar outra vez,Neutral,Negative
tao falando q nordeste devia ser excluido pais q maioria q votou dilma sao nordestino so vivem bolsa familia,Neutral,Neutral
marina deve estar cm inveja dilma achoq dilma q ganhar,Neutral,Neutral
tudo merda galera pessoal so escolher menos pior ate entao pra ver dilma nao candidatos bom,Neutral,Negative
afffffffff velho cu viu pra povo votou dilma tudo pq recebe bolsa familia faz facu fies rabo,Neutral,Neutral
gente dilma ganhar muita ignorancia povo,Neutral,Neutral
surpreendente avanco aecio reta final marina perdeu ficou tras dilma manteve praxe segundo turno sera tenso,Neutral,Neutral
gente serio vcs acham votando aecio pra tirar dilma vai melhorar algum coisa,Neutral,Negative
vai pra rua quebrar vidro leva cartaz compartilha imagen pt vota dilma brasileiro digno hue hue br quanta ignorancia,Neutral,Neutral
vota dilma vota nao abre vota marina ja certa rejeicao pt entao aecio vai ganhar povo aecio,Neutral,Negative
aff velho dilma nao pode ser,Neutral,Neutral
aecio never x dilma segundo turno ahhhh aecio ganhar vai subir janelinha computador brasil saiu sala bate papo,Neutral,Neutral
imagina dilma exclui twitter deus livre,Neutral,Neutral
nao acredito dilma vai ganhar voces comem merda,Neutral,Neutral
vou votar dilma segundo turmo melhor qu aecio governa somente classe alta,Neutral,Neutral
dilma ganhar mato,Neutral,Neutral
nao intendo dilma pode ter ganhado cade povo q falava gigante acordou,Neutral,Neutral
falem oque quiserem votei dilma minimo poderia fazer ganhar bolsa estudos paga prouni,Neutral,Neutral
depende marina apoiar p onde vao eleitores tirou votos tanto aecio quanto dilma,Neutral,Negative
serio voces querem dilma ganhe,Neutral,Neutral
mano nao pra acreditar q gente querendo dilma continuee pqp,Neutral,Neutral
gente fala aecio vai destruir dilma debate pergunto realidade paralela vcs vivem,Neutral,Neutral
outro detalhe pimentel escondeu dilma lembrado prefeito bh aliado psdb,Neutral,Neutral
diferenca sutil dilma aecio omissos promiscuidade politica marina deixou claro q favor casamento igualitario,Neutral,Neutral
dilma ganhar,Neutral,Neutral
sera cachorra dilma vai ganhar merda novo es questao,Neutral,Neutral
dilma vai leva todo mundo direto pro pt n,Neutral,Positive
falta dilma ganhar,Neutral,Neutral
acordem dilma ganhar,Neutral,Neutral
preferiria dilma ganhasse antes entrar so fazia faculdade grana agr qualquer pobre consegue faculdade decente,Neutral,Neutral
aff velho olha tudo estados nordeste tudo votaram dilma pqp,Neutral,Negative
gigante acordou votou dilma deitou pra dormir novo eleicoes,Neutral,Neutral
serio tipo parece vai pro segundo turno dilma,Neutral,Negative
serio nao entendo rua protestar contra governo dilma ta ai protesto urna,Neutral,Negative
concordo contigo amore aecio vai ter ralar conseguir superar dilma,Neutral,Neutral
milhares pessoas vao pra rua pedindo brasil melhor pra agr eleicoes dilma aparece votos,Neutral,Negative
dilma nao pode ganhar mentira sei nada,Neutral,Neutral
dilma ganhar porque brasileiro foder pq pede,Neutral,Negative
dilma caminhando cantando fodendo brasil simples eleicoes,Neutral,Neutral
consciencia alguem vai ter ganhar nao vou ajudar dilma continuar aecio ganhar,Neutral,Neutral
arrumando malas vou pre mudar pra pqp dilma ganhar,Neutral,Neutral
pra mim simples marina apoia abertamente aecio tchau dilma,Neutral,Neutral
dilma pode ganhar eleicao segundo turno nao voto dilma aecio foradilma forapt,Neutral,Neutral
mano nao acredito q nego q vota dilma serio,Neutral,Negative
pessoal utiliza programas governo dilma deveria agradecer oportunidade ta tendo pq nunca iriam ter outro governo,Neutral,Negative
acho voce tera declarar apoio dilma nao moco coloco dedo cara pode ganhar,Neutral,Neutral
mineiro cidade pequena usa celular vota dilma nao direito conversar sobre politica,Neutral,Neutral
copa relativo velho nao pra colocar tudo conta dilma apesar ter culpa,Neutral,Negative
tao confiante quanto zaga palmeiras haha pessimo segundo ibope daria dilma aecio,Neutral,Neutral
mano pqp dilma nao pode ganhar novoooooo,Neutral,Neutral
impossivel arrumar cagas anos anos facil dizer tudo culpa pt dilma,Neutral,Neutral
serio fonte marina dilma grande recife porra,Neutral,Neutral
dilma ganhou votos gigante acordou ne,Neutral,Neutral
deus ainda bem votei dilma coracao leve,Neutral,Neutral
tia dilma vai ganhar,Neutral,Neutral
avante anos merda votou dilma n direito protesto,Neutral,Neutral
juro dilma ganhar desisto dessa merda pais,Neutral,Neutral
so falta fdp dilma ganhar desculpem expressao,Neutral,Neutral
povo fala dilma pt todo mundo direito carrao casarao comida q quiser casa liberdade caramba,Neutral,Neutral
dilma nao ganhar vcs preparem,Neutral,Neutral
tava demorando pra comecarem xingar nordeste causa dilma ne vao tomar cu,Neutral,Neutral
aecio dilma turno dilma simples fato morar minas,Neutral,Neutral
gente ganha aecio ganha dilma agora vamos falar assunto serio tirem faustao tv,Neutral,Negative
en un resultado inesperado dilma y aecio neves van segunda vuelta en brasil,Neutral,Neutral
serio dilma ta ganhando q bosta heim,Neutral,Neutral
eh serio dilma vai levar primeiro turno,Neutral,Neutral
nojo dilma pro segundo turno torcer pra ganhar dilma,Neutral,Negative
dilma aecio mano choro livre,Neutral,Neutral
dilma chance fazer bem lula ganhar eleicao tranquilamente nao fez demonstrou incompetencia,Neutral,Neutral
aecio ganhar vai privatizar td dps n venham reclamar dilma vai fz merda entao p n ser burra voto branco,Neutral,Negative
obvio classe c vai votar pra dilma pois sao grande parte sao beneficiados governo acho estrategia podre,Neutral,Neutral
pai brigando dilma marina tb entra ouvido sai outro,Neutral,Negative
voces votaram dilma sao totalmente idiota,Neutral,Negative
dilma ganhar vcs voltarem fazer protesto mesma vou fazer questao ir casa cada apagar fogo cu nojentos,Neutral,Neutral
dilma vai ganhar todos sabemos porem voto nao vai ser aecio mt menos marina,Neutral,Negative
prefiro dilma dispute segundo turno cm aecio msm sabendo q marina fracatipo finais fla preferir vasco botafogo,Neutral,Neutral
aecio ganhar vai privatizar ate cu dilma ganhar vamos ter aguentar anos roubalheira pt,Neutral,Neutral
serio q arlindo chinaglia disse band q dilma nao sabia nada sobre petrobras afff idiotas ne aecio,Neutral,Neutral
pt preferia enfrentar aecio t tucano votacao pifia alguns estados nordeste la dilma voltara fazer t anotem,Neutral,Neutral
dilma ganhar ole ole ola seadilmaganharosonibusvaoqueimar,Neutral,Neutral
reclama aecio vota dilma reclama dilma vota aecio reclama marina vota dilma reclama ah vai foder voto livre,Neutral,Negative
vota dilma nao direito reclamar sobre situacao precaria brasil,Neutral,Neutral
en contamos el penal fue penal y dilma es popular escuchalo en radiolkar,Neutral,Neutral
ate medo pode acontecer dilma ganhar,Neutral,Neutral
mano dilma aecio nao sei prefiro morte tiro cabeca veneno rato,Neutral,Negative
segundo turno dilma aecio realmente medinho interno aecio ganhar favor nao,Neutral,Neutral
dilma ganhar vai ser causa povo nordeste etc,Neutral,Negative
tomara aecio ganhe cara qje gosta gente sul diferente dilma,Neutral,Neutral
turno coloquem alguem imparcial apuracao so exalta dilma corta demais bancada eleicoes,Neutral,Neutral
cara comanda urnas pt dilma vai ganhar novo zzzz,Neutral,Neutral
vou votar dilma sim voces acham aecio vai mudar tudo melhor esperem deitados pq pe vai cansar,Neutral,Neutral
tb n sei direito mh mae q falando so sei q dilma aecio marina,Neutral,Negative
esquecem ta concorrendo dilma sao milhares vezes pior,Neutral,Negative
digo aecio vai ganhar dilma votou marina nao vota dilma,Neutral,Negative
acho aecio vai ganhar segundo turno porque povo votou marina ta bolado dilma tambem somando dois,Neutral,Neutral
vc protestou vc gritou vc disse gigante acordou votou dilma parabens vc mostrou nao palavra quivergonha,Neutral,Neutral
culpam nordeste dilma ganhar eleicoes parana milhao votos pra petista,Neutral,Neutral
aecio vamos q vamos ganhar dilma,Neutral,Neutral
n acredito q dilma vai ganhar,Neutral,Neutral
vamos fazer macumba pra dilma ganhar hahaha,Neutral,Neutral
brasil tse divulga el er boletin oficial dilma rousseff y aecio neves marina silva fue un pote humo mediatico,Neutral,Neutral
marina dilma virgem pro eleitor parecidas muitos aspectos marina nao oportunidade errar dilma leva,Neutral,Positive
nao bem pra acreditar dilma ta frente indignada,Neutral,Neutral
af dilma vai ganhar dnv,Neutral,Neutral
dilma ganhar sociedade ja pode morrer,Neutral,Neutral
vou seguir passos getulio ser presidenta pq pra populacao votar dilma facil ser eleita so prometer mundo antes eleicoes,Neutral,Neutral
so queria poder ter direito chamar dilma vaca dar cara pra ver toma jeito v,Neutral,Negative
dilma nunca cargo politico importancia construida lula pt brasil ta bosta ganhar ole ole ola,Neutral,Neutral
dilma vai ganhar to chorando canivete vcs,Neutral,Neutral
podia dilma dar alouca fazer igual lulu atacar piedade aecio afundou minas brasil vem,Neutral,Neutral
povo retardado p votar dilma novo pelamor,Neutral,Neutral
voces idolatrando aecio minimo nao sabem nada sobre governo so vao status odiar dilma parabens galera,Neutral,Negative
coisa nordestino votar dilma so causa bolsa familia mentira aqui trabalhador gentr q acorda cedo pra trabalha,Neutral,Neutral
verdade vamos ver marina outros vao apoiar dilma atacou marina vamos ver agora ne,Neutral,Positive
dilma vai ganhar gente infelizmente,Neutral,Neutral
muy buena votacion del democrata neves solo dilma supera el dif voto obligatorio vuelve muy incierta la vuelta,Neutral,Neutral
voces votaram dilma esperando faca algo bom vao ficar esperando porque algo nao fez fara,Neutral,Negative
alguem conhece alguem algo ganhar eleicao aecio nao gosto dilma nao,Neutral,Negative
gente dilma ganhar aecio cu rolaaaaa,Neutral,Neutral
dilma aecio turno ai cu dilma nao pode ganhar galero,Neutral,Neutral
aecio ganhar ferrou tudo prefiro x tia dilma,Neutral,Negative
tambem ja viu escolas alguns lugares sao enfim ta sacanagem votar dilma,Neutral,Neutral
chupaaaa dilma trouxa aecio vai ganhar uhull,Neutral,Neutral
aecio ganhar ate marina serve dilma filha capeta naooooo,Neutral,Neutral
en un resultado inesperado dilma y aecio neves van segunda vuelta en brasil,Neutral,Neutral
governo dilma passou longe perfeito outros candidatos poderia ser menos pior nao acha,Neutral,Negative
sei la vcs nao acha estranho dilma ajudar paises comunistas,Neutral,Neutral
aecio ganhar porra vcs votarem dilma brasil vai continuar msm n adianta reclamar,Neutral,Negative
nao sei eh pior aecio dilma brasil excelente candidatos d smp p smp,Neutral,Neutral
aecio q ganhar anos dilma deus meee livre,Neutral,Neutral
serio gente mineira to falando dilma aecio fiquem dilma,Neutral,Neutral
dilma nao pode ganhar serio,Neutral,Neutral
prefiro marina aecio tbm parece ser pior dilma agr pqp votou dilma q tomar n cu bonito desculpaaemae,Neutral,Negative
votou agora luciana pra apoiar sabia ia ter segundo turno vai votar dilma,Neutral,Negative
contar q governo dilma deixou inflacao completamente abalada ainda age normal,Neutral,Neutral
acho q ate bom aecio ganhar vcs perceberem q dilma n ruim comparado outros anos p vcs perceberem tudo,Neutral,Neutral
serio dilma vai ganhar bosta novo to acompanhando eleicoes merda,Neutral,Neutral
serio alguem ficou surpreso dilma aecio segundo turno,Neutral,Neutral
confirmado dilma aecio vao pro segundo turno diferenca ridicula otimo,Neutral,Negative
la campaanti dilma fue bestial aprovecharon grandes escenarios ir en su contra,Neutral,Neutral
vai social vota dilma vai lado economico aecio,Neutral,Neutral
acha certo votar dilma fdp,Neutral,Negative
pessoas votaram marina falando mal votaram dilma mesma coisa sujo falando mal lavado,Neutral,Neutral
dilma partido malandro pode ate ganhar maioria congresso sentindo aliviada,Neutral,Neutral
nao acredito dilma vai ganhar,Neutral,Neutral
vamos ser realistas ne mores dilma vai ganhar pq infelizmente maioria vota nela,Neutral,Neutral
tanto faz ganhar dilma aecio so espero facam alguma coisa melhore brasil servicos publicos,Neutral,Neutral
entao gente tchau segundo turno aecio dilma confirmados pode deitar chao chorar ja,Neutral,Neutral
quantos estados existem brasil ne so causa nordeste dilma vai ganhar perder nao querido,Neutral,Neutral
porra nao acredito dilma vai ganhar novo,Neutral,Neutral
amor deus tarso dilma precisam ganhar senao certeza q pai troco,Neutral,Neutral
globo news afirma marina sao paulo segundo turno nao irao dilma petistas estao falando vou contestar,Neutral,Neutral
vei dilma ganhar brasil ta fudido,Neutral,Neutral
erro ibope comprado ontem dilma hoje ontem aecio hoje ontem marina hoje ontem veiga hoje,Neutral,Neutral
dilma marina ainda alguma chance marina ganhar vai ser aecio dilma,Neutral,Negative
to vendo ja dilma vai ganhar sa bosta,Neutral,Neutral
der dilma novo mudo p egito,Neutral,Neutral
votei marina infelizmente dilma vai ganhar fizeram tanto protesto pra nada,Neutral,Negative
caramba dilma nao pode ganhar vez,Neutral,Neutral
dilma aecio boa sensacao ganhar prazo,Neutral,Neutral
so come muita merda pra preferir aecio dilma,Neutral,Negative
aecio dilma segundo turno serio,Neutral,Neutral
pfvr vao falando varios motivos pq dilma melhor aecio pq to dando menina nao acredita mim,Neutral,Negative
dilma aecio serio serio,Neutral,Neutral
nao curto dilma nao sei pq tbm dizer nao fez nada mano ai tbm eh demais ne,Neutral,Negative
chance tinhamos alguem diferente poder ficou resumindo dilma arrematara votos nordeste sera reeleitapalpite,Neutral,Neutral
dilma ganhar mato muie sata,Neutral,Neutral
dilma aecio segundo turno nada obvio,Neutral,Neutral
sim acho fim,Neutral,Negative
uns casos fortaleza urna tava problema ashuhusahusa tava indo direto pro numero dilma oh putaria,Neutral,Neutral
deploravel regiao onde analfabetos dependentes bolsa familia responsavel levar dilma,Neutral,Neutral
dilma vai ganhar nao,Neutral,Neutral
dilma ganhar nunca acredito nesses protestos brasil inteiro tava fazendo,Neutral,Negative
podia ser pior podia ter dado dilma marina segundo turno estariamos correndo serio risco pais governado malafaia,Neutral,Neutral
dilma aecio vao disputar segundo turno siga vivo globophcpsy eleicoesglobonews,Neutral,Positive
aecio ganhar dilma segundo turno fujo desse pais,Neutral,Neutral
visto idiotas brasil incluo fizeram burrada dnv caralha dilma vai ganhar aecio,Neutral,Neutral
menos conforta saber segundo turno dilma nao ira ganhar porque acredito assim,Neutral,Neutral
dilma ganhar preparem pro inferno,Neutral,Neutral
vou arrumar adesivo vou passar frente daqueles filho puta ficam fazendo campanha pra dilma frente catedral,Neutral,Neutral
nao entendo logica povo brasileiro protestaram ate nao poder hoje votaram dilma sera gigante acordou,Neutral,Negative
dilma ganhar dnv brasil vai dever cartaz protesto,Neutral,Neutral
ai povo faz tudo pra final votar dilma brasileiro merece sofrer,Neutral,Negative
sim dilma aecio marina ja dilma agora acho luciana otima vdd socialismo mt radical,Neutral,Neutral
pede mudanca fala q gigante acordou porem vota dilma,Neutral,Neutral
dilma precisa ganhar porra,Neutral,Neutral
odeio dilma odeio aecio dois melhor deixar merda instavel jeito ta ha anos,Neutral,Neutral
quero ver rolar debate aecio vai destruir dilma,Neutral,Neutral
gigante acordou votou dilma voltou dormir agora anos preparando malas paris to chegando,Neutral,Neutral
gnt nao queira dilma vai ganhar aceitem doi menos,Neutral,Neutral
sinceramente dilma aecio vo vota dilma qualquer dois ganhar vai mesma merda,Neutral,Negative
engracado vc veio falar nordeste causa dilma mente tao pequena tao futil parece q nao sabe,Neutral,Neutral
dilma vai ganhar obaaaa ja sabia podem chamar qualquer coisa dilma,Neutral,Neutral
sei melhor vc votar dilma,Neutral,Negative
ai mae diz q diolma ganhar vai ver mudarmos p outro pais vai dilma,Neutral,Neutral
nao votei dilma,Neutral,Negative
so quero ver gente sofrer anos causa varios retardados votaram dilma emabiggestfansjustinbieber,Neutral,Neutral
velha politica wins rt polarizou esquerda contra direita trabalhador contra burgues pt contra psdb dilma contra aecio dilma,Neutral,Neutral
bom segundo turno dilma x aecio todos votantes racionais outros candidatos iriam votar aecio,Neutral,Negative
pode mudar ser apertado etcacho turno sera tipo lula x alckmin dilma vai ganhar muita margem sobre aecio,Neutral,Neutral
povo falo tanto mal dilma voto nela novo vai ganhar ainda,Neutral,Negative
cara vaia dilma faz espetaculo todo quebrando banco caralho quatro agora vem votar dilma vcs sao tudo falsa,Neutral,Negative
nordestino burro pq votou dilma paulista inteligente pq votou aecio poupe,Neutral,Negative
tudo menos dilma cara serio,Neutral,Negative
dilma deveria ganhar so acho,Neutral,Neutral
nao aguento ver dilma estar ganhando nao duvido tudo beneficiado casa vida bolsa familia forapt foradilma,Neutral,Negative
dilma vai ganhar melhor aecio ganhar resolver privatizar tudo pior ta nao fica falar mal dilma virou modinha,Neutral,Neutral
quero q dilma ganhe pq trabalho gracas programa jovem aprendiz ano q vem quero ir trampa banco emabiggestfansarianagrande,Neutral,Neutral
vai tomar cu beeeem gostoso pra rua ano passado protestar contra dilma merda governo hj votaram,Neutral,Negative
nao quero ver buraco pernambuco vai afundar aercio ganhar entao aqui team dilma acho ruim torco novo,Neutral,Negative
duvidas q bom creio q sera menos pior q dilma,Neutral,Neutral
milhares pessoas vao protestar brasil melhor pra agora eleicoes dilma aparece votos,Neutral,Negative
nao dilma so acho estranho aecio nao ganhar mg,Neutral,Neutral
esquerda contra direita trabalhador contra burgues pt contra psdb dilma contra aecio segundo turno dilma,Neutral,Neutral
c dilma ganhar segundo turno ai vou ter certeza q tudo esquematizado,Neutral,Neutral
nao vidente petista gosto politica nao precisa muita coisa pra saber dilma vai ganhar dnv,Neutral,Neutral
vc percebe nao ta facil qndo votar aecio pra nao ver dilma reeleita eleicoes,Neutral,Negative
mesmas pessoas q manifestaram ano passado sao mesmas q votaram dilma parece q merda cabeca,Neutral,Negative
acho dilma preferia ir aecio p segundo turno p falar igual p igual,Neutral,Neutral
serio vcs gostam dilma escrotas,Neutral,Neutral
ces protestar rua votaram dilma serio,Neutral,Negative
dilma aecio segundo turno gigante pessoal voltou hibernar vergonha povo,Neutral,Neutral
dilma oculus rift igual pewdiepie tambem votava nela,Neutral,Neutral
falta escolaridade nisso dilma liderando votos norte nordeste pais povo gosta sofrer,Neutral,Neutral
tao falando q nordeste devia ser excluido pais q maioria q votou dilma sao nordestino so vivem bolsa familia,Neutral,Neutral
ano conhecido gigante acordou ae certeza pq voltaram dilma bosta,Neutral,Neutral
farei boa prova matematica amanha sabendo dilma possibilidades ganhar turno,Neutral,Neutral
