"","text","comment_id","sentiment"
"75","h babaca folha golpe nacao exigiu prega cf podemos pedir quantas vezes quisercomentario nada ver faz gostar pq vejo bons olhos militares governo twitterfolhastatus ",184,0
"76","safi vamos votar mito tudo resolvera acho alem politico e magico ne zero projetos solucionara tudo espero tia bem",185,-1
"77","comeco achar esquerda iria preferir im nesse momento ter arriscar perder jair bolsonaro voto tudo tumultuar eleicoes vez implementar vitimismo gritar e gopi",187,-1
"78","do jeito midia e bolsonaro vencer eleicoes vai dizer intervencao militar",189,-1
"79","propaganda gratuita assim ganha facil um dep do partido comunista criticando",191,0
"80","diante desse lixo pais pt deixou aumenta vontade eleito primeiro turno obrigado informar tem manter viu twitterfolhastatus ",194,-1
"81","gostei video youtubeducdkocam arcelo madureira elogia carater jair bolsonaro programa   jovem",198,0
"82","retweeted cristiana menshova isso otimo excelente continuem tentando diminuir mudar contexto tudo falou fala vai falar tudo desperta facebookjorgeribeiro posts",203,1
"83","muito bom msm",214,1
"84","isso otimo excelente continuem tentando diminuir mudar contexto tudo falou fala vai falar tudo desperta interesse cidadaos procurar conhecelo melhor tempo confirmam quanto midia e parcial tendenciosa",218,2
"85","obrigado noblat duvidas sobre voto ver comunista nivel lixo falar tanto farei campanha graca obrigado twitterblogdonoblats tatus",219,-2
"86","vem aq agredir otario quero ensinar q mulher pode fazer cara vc otario bolsonaro sim orgulho",220,-1
"87","eu no estou vendo a globolixo divulgar as pesquisas de inteno de votos porque ser nao quero acreditar e causa primeiro colocado t",221,0
"88","si o politicamente correto e cancer civilizacao ocidental deve ser erradicado senao matara colombia brasil",224,1
"89","todos pre candidatos agora plano governo quais metas vao melhorar pais",226,-1
"90","isso mesmo corrupo traz mortes assassinatos silenciosos por omisso de serviosatendimentos corrupo genocdio sim meio milho morreram silenciosamente decorrente dessa corrupo genocida assassinos",227,-1
"91","somente  coisas impedem ganhar assassinato lo voto impresso stf votos tem suficiente pra ganhar primeiro turno viva o brasil",228,0
"92","governo direita bolsonaro desculpe e apenas socialista verde oliva melhor candidato ano e joao amoedo",229,1
"93","dingdong faustao globolixo vaitomarnocuglobo ou lelo entra ai cara seja homem sustente fala boila pode pegar tela telefone covarde so poderia ser defensor tv bobo perigo cerebro jbh",233,-2
"94","sera epoca eleicoes globo ira ceder espaco propaganda eleitoral",236,0
"95","eu disse polidodisse claro objetivo e criar duplo sentido fala nao direito errar seu voto faca der cabeca conscienciase tiver",237,0
"96","cerebro repressao ditadura torturador brilhante ustra e celebrado poupava criancas apreciava comandar violacoes mulheres durante ditadura desarquivandobr owlyjockgk",239,0
"97","impossivel acabar bolsa familia sabem disso estao sendo hipocritas contra ainda brasil muitas familias dependem deste recurso e inegavel precisa e porta saida familias possam reduzir dependencia",245,-1
"98","gnewspainel melhor wack ngnjauetg",247,1
"99","cheguei conclusao jair bolsonaro discursos metido besta armamento causa hoje adolescentes sub mesma reacao justin bieber causou adolescentes sub ",248,-1
"100","caminhoneiros intervencaomilitar vao parar brasilia protestar  h shoutoutwixsomextoph evento dia  h convide amigos ajude compartilhar redes sociais facebookevents ",249,-1
"101","ele certo aconteceu vez  mil meio milhao brasileiros assassinados crime organizado crime desorganizado ambos bancados fhc orcrim crias bolsonaroneles",252,1
"102","se pouco humildade vera melhor atitude poderia tomar e apoiar unico direitista chances no bela declaracao",253,2
"103","tadinho gente e retardado paciencia",255,1
"104","a esquerda destruiu brasil vai ser dificil recuperacao porem e excelente oportunidade governo direita fazer historia",256,0
"105","um governo comunista sustenta demais simples",258,0
"106","tendi nada dessa briga fizeram cortes educacao saude era ruim vai piorartom parece boas iriam ficar ruins pessoal precisando expressar melhor",262,1
"107","morrem negando ainda q estampado cara d todos negam",263,-1
"108","quer matar pau doe auxilio moradia instituicao caridade todos meses vai deixar populacao confiante vc",265,1
"109","isso e comunismo puro e lula cia querem implantar brasil twitterrenovamidiast atus",268,1
"110","vc vota caras todas pautas importantes congresso dai aqui twitter resolve falar mal decida vc contra plano real contra cadastro positivo contra reforma trabalhista contra teto gastos todas pautas esquerda oras",271,2
"111","o povo barrar entrada rede globo afiliadas todo brasilfazer canalhas provarem proprio venenodevemos todos ir ruas censurar bandidos midia comunista",277,-1
"112","fiz peca humor bolsonaro gostou tanto mandou mensagem dizendo riu disse q assim eleicoes onde agradar adaptar veio expressoes nojo vagabundos grosso lixos bosta cabeca deve ta cheia disso",278,1
"113","deveressaltar culturalmente lado esquerdo associado pecado direito simbolizava correto via conceitos conceitosdestrocanhoto",282,1
"114","esquerda da dinheiro pra fazer porto cuba e direita vende brasil inteiro capital estrangeiro nao sei e pior",284,-1
"115","vc falou imbecil ta odio ser twittergutbyrastatus ",286,-1
"116","dingdong   melhor presidente historia enas eterno pior emissora mundo quer dizer sei tem disputar pior mundo kvgjdeglp",289,-1
"117","seus cidadaos bem fazem pior apoia hipcrita",295,-1
"118","estranho porque todos amigos gays votarao falando serio todos",296,0
"119","caminhoneiros intervencaomilitar vao parar brasilia protestar  h shoutoutwixsomextoph evento dia  h convide amigos ajude compartilhar redes sociais facebookevents ",299,-1
"120","foi resposta merece google youtube propria pagina ai pra ver algo util dito e bom pra mim vezes e bom pra seus valores podem ser diferentes derrepente vc apoia lula",300,3
"121","infelizmente perder tempo lendo noticias a cansa tentativa denegrir imagem quem converse voces nao e intencao pq eleitores bolsonaro bem boinha certos escolha",302,0
"122","nao q postar fica da qui pouco vao falar q jogou bolinha papel coleguinha sala aula",303,-1
"123","concordo vc quero votar ideias pessoa nunca desse ciclo politico sistema bolsonaro infelismente faz parte votou esquerda aqui dizendo honesto velha rapousa pele cordeiro",305,0
"124","uahauah uahauah ta maluco rapazola o nome e jair no e facinho confundir inacio gleisi rosario aecioserra para fumar merda ai",309,-2
"125","espero ganhe bases urnasfraudulentas stf vai ser luta desigual ganhar vai ser vitoria",310,0
"126","quem e junto comuna",314,-1
"127","um cara deseja estupro outras mulheresdeve ter mae simmas deve curtir tipo sexopro filho achar normal vem outra explicacao",317,0
"128","o problema que j chegamos um estgio que viver se tornar uma aventura rdua e cuja qualidade de vida ser zero vamos aproveitar o restinho de liberdade que resta p unirmos por uma vida melhor e sem escravido",318,1
"129","processodar chance real defesa mulheres",322,1
"130","temos o lgbt lucido grande bom temente a deus twitterjcoutinhost atus",325,2
"131","a atriz sei nome falando populacao votar ngm radical pelo entendi p votar jair bolsonaro dingdong",326,-2
"132","temos o lgbt lucido grande bom temente a deus",328,2
"133","falou lider pc dob o choro e livre presidente",329,0
"134","as redes sociais cumpriu papel agora e ao fora pode morrer gente pode vai assim nacao podera ficar livre ou presas faceis pra vida toda",330,0
"135","entre musica outra faustao fica fazendo politica inversa criticando indiretamente taxando radical etcos babacas atores auditorio aplaudem e logico afinal globosta lixo programa",335,0
"136","acho comentarios merecem live disso pra gente rir vivo bobagens inventam",337,1
"137","vc acabou ser lembrado faustao induzindo eleitores votar globo descontrolada",338,-1
"138","eu recomendo todos entendem fazendo micro experiencia politica qualquer exemplo ser sindico entenderao e ardua tarefa politico correto porque lula vida ainda tantos fas sendo q e",339,1
"139","faustao passa bosta encostado domingos enganando trouxas muitos anos prepara meio campo fantastico outra merda prefiro assistir cachorro fazendo coco globolixo",340,1
"140","os caras fazendo discurso contra faustao hahahahahahaha nao basta ser contra mostrar projeto melhor vcs apoiam alguem e corrupto eu voto mito ponto final",341,0
"141","pode chorar o vai levar primeiro turno nao adianta vir nhenhenhen populismo radicalismo",342,0
"142","exatamente lu chamam loucos entrgam poder maos mito altamente desqualificado dar palestra condominio frase e chama corrupto ah e corrupto como decadas politica nunca denunciou gov coniventeladrao r",345,-2
"143","candidatura vai derreter falou acho vc enganado posso esperar politico nome envolvido corrupcao receber dinheiro garagem ministerio noticiasuolbrpoliticaultim noticiasorlandosilvarecebeupropinagaragemministerioesporteapontareportagemvejahtmcmpidcopiaecola",346,-2
"144","problema nenhum na ansia acabar reputacao e grande coisa vao dar ibope ha  anos atras ninguem fazia ideia jair bolsonaro ele tornou e gracas forca midia",350,-1
"145","pra variar globo acaba atacar indiretas presidente",351,0
"146","general villa boas apoia temer",355,1
"147","vou testar recurso tv digital caio bobeira sintonizar globo a campanha anti forte faustao cara capital inicial todos desconhecido malhando tal candidato radical",358,1
"148","comecar eleicoes falar antes pode ser preso causa lei",362,-1
"149","impressao faustao convidados tentando convencer brasileiros votar parece muitos preocupados",364,-1
"150","jair bolsonaro sendo esculachado pe faustao adoro",366,-1
"151","assistam video ciro gomes muito bom acabou c youtubeuohrgaawk",368,1
"152","os caras so to cretinos que ate se metem em parada gay com medo do jair bolsonaro",369,0
"153","todo domingo impressao faustao faz alusao faz mencoes sobre eleicao sera enganado faustao e anti",372,-1
"154","eu ainda preferiria viver eua trump brasil lula presidiario",374,-1
"155","verdade todas comunistas perderao caso facam so sei coisa sera eleicao emocionante todas chega outubro bolsonaro presidente dessa bagaca toda vai arrumar tudinho e claro",375,0
"156","globo artistas petista globo querendo queimar programa gordao falastrao o bom pra vcs e turma pt lixo vcs  globais lixo",378,1
"157","faustao fazendo campanha contra radicais eleicao dizem vao resolver tudo logo faltou citar cpf desespero globolixo vendo fonte secar",380,-1
"158","ciro gomes e cangaceiro nati morto",385,-1
"159","parabens expor estar vivo ter colocado tres filhos contra corja vadios contra inchaco estado cuide assim puder",394,1
"160","o q talvez minima chance aumentar eleitorado ciroainda assim ganha sindico pt morto bolsonaro ainda debateu politicopq deram chance vao entrevistalo perguntam sobre propostas sobre",398,-2
"161","deixa enganar candidato q comer muita b ainda acordabrasil existe plano b continuamos lutar intervenomilitar cataremos lixo rua venezuelanos estamos guerra titas comunista sai b",399,0
"162","a globo e unica fazer debatevai querer perder nisso band recordestranho bolsonaro debates outras emissorasmenos globo eles agarrando corda velha poidaverem q arrebentar certamente mudarao",404,-1
"163","a eleitora bolsonaro podera defender dando belo tiro cara desse frango qualquer outro vagabundo tentar atrocidade dessas esse ai gosta mulher bomba derreteu pouco massa encefalica",405,0
"164","bolsonaro voce mal acompanhado lamento escolha vicepresidente perdera muitos votos",408,0
"165","pra ti bocalnaro vivemos sociedade bastarda procura pai canalha",411,-1
"166","infelizmente segue criticando tentando apoiar fraco amoedo chance nada so fortalece esquerda pois empurra centro pra la mostra necessidade bolsonaro hj pais direita apoialo liberais entendem",416,0
"167","verdade mais vao querer perder monopolio rede globo e capaz tudo tempo burros sabem vai da outra bolsonaro presidente brasil vao lascar quero ver olhos esbugalhados",419,-2
"168","o lula surfou onda fhc plano real escambau nao esquerdinha vejo coisas",422,1
"169","ainnnn entende economia dois safados ficaram anos poder entendem portugues sabe ler outra consegue fazer discurso coerente proprio idioma dilmantes",423,1
"170","todos votamos nele dia porra votar lula e mt amplo falar assim ele sempre lutou contra mas cara n q ser favor cancer pq pt n e pelo amor",426,-1
"171","tu faz companha p bolsonaro danada quem melhor ciro marina amoedo riachuelo",433,1
"172"," lugar pesquisasleva primeiro turno bolsonaro e bem recebido todo paiscoisa q lula conseguiu apogeutentou queda sindicalistas jornalistas carregalo e hj e velho preso patetico",435,-2
"173","agora e favoravel bolsafamilia mas e tipinho escroque ne nem sustentar propria falacia sujeitinho consegue twittercheiodesoross tatus",436,1
"174","jair bolsonaro manda recado rede globo garante ganhar para presidente vai cortar todos os previlegios que o grupo roberto marinho tem facebook videos",439,0
"175","ai claudia apoiamos mito vamos desistir quem quiser acreditar contrario problema",443,-1
"176","pois e e tao certo quanto calor fogo cada pais agraciado presente existe cofrinho parte envolvidos so resta e torcer menos obtermos provas condenacao crime quanto dinheiro esquecamos",446,1
"177","elis acredito vao tentar tirar debates pois vai pra cima desses comunistas imundos vao tentar acabar mito la",447,-2
"178","elis acredito vao tentar tirar debates pois vai pra cima desses comunistas imundos vao tentar acabar mito la",448,-2
"179","o tal tas montou video cqc prejudicar bolsonaro conseguiu processado",452,-1
"180","ate direita avisa asno jair bolsonaro contra ciro gomes ferrado youtubeqcwlxpdvpq via",453,-2
"181","o estado e tao gigantesco carga tributaria  pib e capaz dar conta culpa e greve caminhoneiros",456,1
"182","cara passei reportagem numeros oficiais governo milhes familias rebate dizendo conhece pessoalmente ninguem outra reportagem cita um caso se quer brigar fatos feliz",457,1
"183","nem micareta epoca futuro presida e esquecido ",459,-1
"184","mano mundo e multi e uni fora contexto tudo e anormal pra ta certo",462,0
"185","ela quer ser enganada pensa q idiota util",463,0
"186","o bolsonaro e lula  um candidato fala agradar publicoagrada  desagrada  dificil vencer eleicao majoritariaonde todo voto conta dessa formao lula venceu nasceu lula paz amor parou falar merda toda hora",465,-1
"187","isso faz sentido algum vida real e videogame vc pega arma inimigo morto para armamento ser adotado forca e feito estudo logistico operacional nao vai nessa amigao",467,1
"188","alias representa tudo tenho serias duvidas o pacote e bonito podre oco dentro cuidado",471,1
"189","idiota ja falei q vi entrevista onde explica o sr pierre manda video feito canal viva la revolucion vc acha q errada ta brincadeira",474,-1
"190","radical todos moderados vimos ultimos  anos corruptos assassinos genocidas se pena morte brasil estar mortos twitterfolhastatus ",476,0
"191","radical todos moderados vimos ultimos  anos corruptos assassinos genocidas se pena morte brasil estar mortos",477,0
"192","mano vao estudar caligula",478,-1
"193","senti vejo varias entrevistas you tube varias boas tem perder tempo c  intencoes vale pena",481,-1
"194","temer perdoou  bilhes divida itau semana passada",486,1
"195","explicado votar lula desmonta qualquer arcabouco votou lula lula vida inteira twitteralexrebelos tatus",489,-1
"196","sr pierre qdo indicar videos coloque canal serio canal chamado viva la revolucio e subestimar inteligencia pessoas tentar persuadir pior forma ta ok",490,-1
"197","olha ai aliado pt vc algum comentario",492,0
"198","cqc melhor programa tv aberta expunha verdade sobre todos politicos senado bolsonaro e virus alimentado intolerancia preconceito arrogancia alem ser mal educado faltar decoro diversas vezes ainda e favor regime militar nojento",496,1
"199","isso e fruto povo culturaforca inteligencia sim brutalidadeinfelizmentecultos acabam indo embora reconhecidos la grande parte ficam infelizmentee ignorante esquecem voto e importante baderna criada",498,-1
"200","whoalves burro vai informar petista",500,-1
"201","king joffrey queen cercei walder frey meryn trant tywin lannister geraldo alckmin jair bolsonaro michel temer admistrative manager bank jose carlos rh departament daiane",501,1
"202","longe ser defensor jair bolsonaro mas anos  pt contra plano real twitteruolnoticiasst atus",503,2
"203","errado proximo vai ser e presente momento parece vai prometer pode cumprir",504,-1
"204","claudia assisti varias entrevistas bolsonaro essas coisa q perdem tempo falando resolverao nada problema ja vi video original fala esse ai e montagem",505,0
"205","seria bom comecar chamar invasores terras realmente guerrilheiros terroristas",507,1
"206","vamos fazer correcao e emprestar dinheiro objetivo e dar dinheiro porque merdas nunca vao pagar emprestimos falidos",509,-1
"207","poderia rolar video live lendo comentarios com certeza ia render algo engracado",512,1
"208","nome processo e garoto menemgana",515,-1
"209","a frase mentirosa tirado contexto ameba resposta q deu pergunta q feita e dificil neuronios entender pq usou pergunta gimenez resposta bolsonaro totalmente subvertida respostae q mentira",518,-1
"210","cretino",520,-1
"211","dessa vez jornalista sendo injusticado pequeno grupo fanaticos bolsonaro pois fato disse nunca empregaria mulheres salario youtubeonkcauhqpy esse link entrevista onde reafirma",522,1
"212","dessa vez jornalista sendo injusticado pequeno grupo fanaticos bolsonaro pois fato disse nunca empregaria mulheres salario youtubeonkcauhqpy esse e link reconhece",523,1
"213","simples assim pra e sordido sarcastico daquele tipo destila veneno vai matar propria estulticia ignominia deve ser fanatico duma diversas denominacoes crente evangelicas mal coaduna carater carvalho",525,-2
"214","sim do bandido vejo aco do",526,-1
"215","ele disse ve video asno a fraternidade noblat tirado contexto pergunta resposta e fanaticos eeleitoreseleitores  vc queria presidente",529,-1
"216","esses dias assaltaram mae reagir ainda agredida e complicado",530,-1
"217","gente filha duma puta fica internet vendo circo pegar fogo provavelmente mandam boleto falando mau faz alguma coisa",531,-1
"218","felizmente dano apenas material ultimamente agradecer continuar vivos",534,0
"219","sim sempre oportunidade encontrar bandido aco do tomara recupere pertences",535,-1
"220","tentei ver conversa anterior consegui se valer sugestao vote joao amoedo quiser perder voto iniciar reconstrucao valores dessa nacao vote jair bolsonaro",538,-1
"221","isso e papo live mesa biscoitos bom cafe porque olha assunto falar xd",540,1
"222","eles aceitam pensar oposto affff post ridiculo",542,-2
"223","a compromisso fazer ganhe ne impressionante",544,1
"224","muito deste dinheiro esperando provavelmente ajuda politica caso golpe ou saida poder ainda bem deu certo",548,1
"225","prefirimos o ps obrigado d ilcito",550,-1
"226","parabens mim o presente vem outubro bolsonaro kwqjdar",551,0
"227","ue globo a golpista mas continua pe conheco ninguem aberto moradores tem medo aceitar emprego perder bolsa familia brasilestadaobrnoticiasgeral moradoresmedoaceitarempregoperderbolsafamilia",552,-1
"228","ele e politico tao apolitico devido origem hora precisa ser politico consegue usando tatica ficar calado pois calado e poeta",553,2
"229","e engracado e preocupante brasileiro e bizarro",561,0
"230","homofobico racista machista nazista so chamam corrupto",567,-4
"231","mencionou bolsonaro vai comecar perder inxcritos xanel galerinha sensivel pode ler nome fica espumando",569,0
"232","milhares familias sairam voluntariamente informe mogloboglobobrasilbolsaf amiliamilhaocasasabrirammaobeneficio bolsa familia  milhao casas abriram mao",570,-1
"233","n posso tenho esconder vc e igual sherlock descobre tudo sensacional parabens so peco pra vc ler contexto frase porque e demais intelecto superior hahahahah pardon",571,0
"234","vamos  porque lula dilma temer vez agora precisamos direita governando pais",573,1
"235","dessa vez jornalista sendo injusticado pequeno grupo fanaticos bolsonaro pois fato disse nunca empregaria mulheres salario esta entrevista abaixo luciana youtubeonkcauhqpy",576,1
"236","seria otimo funcionasse",577,1
"237","sabia policia pode usar  balas ano treino",579,1
"238","eu pago imposto portanto quero policia preparada bem remunerada proteja",581,-1
"239","cortado assim continua provando nada passar bem",582,-1
"240","gglobopoliticaeleic oesnoticiatsevaifazerauditoriatemporealurnaseletronicasdiaeleicoesghtml bom jair procurando outra desculpa",583,1
"241","que bom vc sente seguro assim eu condicoes dias encontrei certo atacante coxa atividade ainda recebe acho faria besteira",584,2
"242","so valor voto segundo presidiario  pila",585,-1
"243","entao vao culpar queda presidente petrobras",587,-1
"244","isso significa caminho certo trazendo poneis prantos",588,1
"245","nao precisa envergonhar pode sair armario",590,-1
"246","krl comentarios video bom guerra ta engracado demais agora nocao inventam ai respeito senti quase lotado fake news uaehueahuaehueah",599,2
"247","eu porte ando armadopreparado precisar defender familia preparado paz",600,1
"248","mesmo discursinho petista diz culpa tudo ta acontecendo e temer  anos pt",601,1
"249","calma",607,1
"250","exato facam testes andem armados vcs acham resolve",609,1
"251","deveria ser condenado igual mito falou algo parecido ne",618,-1
"252","e plano pra alguma coisa ele e burro capaz falar grafeno nesse assunto",619,0
"253","vai nada e facil pt fazer censura dito mito",623,1
"254","esses dias atirei clube com  tiros consegue ter nocao basica manipular atirar pistola",625,1
"255","pois e deu deu elegeram presidente muda opiniao  xs dia sobre assunto envergonhando proprio partido pais ele navegando onda comecou  anos atras nao e merito",626,-1
"256","so venham conversinha mole e populista igual ladrao  dedos esse e dia dia cara anos anos vida publica exatamente jeito o cara e assim doenca achar todo mundo quer iates caviar todo mundo e burro assim hhdhymt",627,-2
"257","mas ainda bem e liberal liberal faz terraplanagem marxismo construir",629,0
"258","na quintafeira dia  pessoal de sergipe o nosso querido p r e s i d e n t e jair bolsonaro n ",630,1
"259","previso de cabar  turno eleicoes presidenciais brasil disputado jair bolsonaro ciro gomes nenhum dois  votos validos  turno seremos obrigados escolher desgraca catastrofe pratrasbrasil",636,-1
"260","complicado falo distribuicao armas sim registrado muitos testes prefiro ladrao chao familia chorando",640,-1
"261","a verdade e sonho e dar rabo pro so bolsonaro e hetero ai fica agindo igual putinha rejeitada",641,0
"262","queria ser terrorista palavras pensar sairam brasil",643,-1
"263","jair bolsonaro sobre dilma rousseff deixou pais desgraca nereucrispimbrjairbolsonaro sobredilmarousseffdeixoupaisdesgraca",644,-1
"264","pra vcs verem raca faz nada amor constroi enquanto pao mortadela nada fazem bom",652,1
"265","nos vamos colocar jair bolsonaro segundo turno estou ansioso ver posicao isentoes deixarem vamos elege lo  turno",653,-1
"266","pena muito bom",658,1
"267","primeiro colocam semi analfabeto presidencia depois colocam terrorista agora querem exigir economista",659,-2
"268","caro amigo apresente projeto governo favor esse ataque esquerda causando merda pais pare alimentar odio favor amor tens pais",661,1
"269","parece e tao infame assim",663,-1
"270","a midia hoje favor midia contra bolsonaro contra midia favor independente lado vao contra",666,-1
