text	sentiment
 mae mae petista feio ta querendo cumer mae  bua bua so fiinho di papai maie  bua bua dilma feia vai ganhar di novo bua bua	negativo
 turno confirmado dilma rousseff aecio neves vou blog dilma rousseff novo 	positivo
dilma x aecio  	neutro
falou vai votar dilma   ancia d vomito	neutro
 acredito q eleitores marina tb vao pra dilma   sei la ne	positivo
dilma aecio neves disputarao segundo turno diferenca votos sam	neutro
mae ta enchendo saco causa dilma scrr	neutro
presidencia brasil sera decidida segundo turno dilma rousseff aecio neves	negativo
n consigo entender pq brasil inteiro moveu pra tentar mudar situacao  pra mudar governo  dai dps votam dilma   tipo    	positivo
segundo turno aecio dilma   manero  n sei rio  choro	positivo
muda brasil dilma barbudo safado  	neutro
zuerinha odeio dilma gorda	negativo
dilma vai ganhar gente  infelizmente	positivo
confirmado aecio dilma	positivo
oficial  segundo turno dilma aecio	neutro
dilma rousseff y aecio neves disputaran segunda vuelta en brasil	negativo
 turno cara dilma	neutro
muy buena votacion del democrata neves solo   dilma  supera el    dif  voto obligatorio vuelve muy incierta la  vuelta 	positivo
dilma rousseff enfrentara aecio neves en segunda vuelta presidencia brasil	negativo
dilma vs aecio ganha eh dilma genty	positivo
recuso ver segundo turno dilma x aecio	neutro
visto  infelizmente vou ter votar dilma segundo turno	negativo
  ahora es comenzara correr dinero ahi  lograr alianzas dilma    	neutro
 hrs  dilma ganhar pq roubado   ganhar apoio mega protesto foradilma    likelike   share	positivo
dilma nao  menos aecio nao  eita povo lerdo 	positivo
  aecio   pra dilma sentar	negativo
 dilma   jair pedro  protesto ja nao ninguem   joao paulo  rene patriota edilson silva	neutro
 tambem nao recebo bolsa familia deixem votar dilma 	neutro
dilma aecio segundo turno dilma fudeu kkkkkkkk aecio	neutro
minas gerais  onde aecio conhecido  povo deu vitoria dilma so desinformados votam tipo sujeito desse 	negativo
tirei  redacao pq falei vcs votam dilma  otarios 	neutro
voces votaram dilma esperando faca algo bom  vao ficar esperando porque algo nao fez fara	positivo
 vale lembrar  dilma recebeu porcentagem alta votos  turno todos marina  diz algo	positivo
rt   so dica dilma cair  servidor cai tambem viu  concurso so kakakak	neutro
deu dilma aecio	neutro
dilma   jeito caminhoneira  fez copa  implantou programas pro brasil  respeita vinhado  br heuehuehe dilma presidente	positivo
dilma deve estar cu mao horas	neutro
 tbm n leq  aecio ganhar acabou pais  esperanca  porra toda dilma fdp melhor deixar dilma	positivo
prepara brioco dilma  	neutro
vou votar nulo segundo turno  recuso votar dilma aecio	neutro
povo pra rua protestar  meteu pau dilma pra hoje ta ai primeiro lugar  povo hipocrita 	positivo
 kkkkkkkkkkkkk pse pessoas sao muts burra q votaram dilma   	negativo
agora oficial dilma aecio confirmados  turno	positivo
segundo turno dilma rousseff aecio neves  so aecio  vai aecio 	neutro
definido dilma aecio votos vao segundo turno	neutro
dilma reeleita  tchau brasil	neutro
faltando menos fim apuracoes aecio neves garante briga segundo turno dilma  aecio wins  	negativo
votos apurados  confirmado matematicamente segundo turno presidente dilma tucano aecio neves	positivo
crei la competencia solo estaba dilma y marina  	positivo
ih  margem diferenca dilma aecio ta aumentando	positivo
votacaobr  dilma rousseff    aecio neves    marina silva    apurados   eleicoes  tseh 	neutro
dilma aecio turno vamos vamos aecio	neutro
viixii aecio dilma   vai pro segundo turmo kkkk	positivo
  alguem conhece alguem algo ganhar eleicao aecio   nao gosto dilma   nao	neutro
    dilma aecio segundo turno passagem pra marte ai  kkkk	negativo
gente dilma ganhar  aecio cu rolaaaaa	positivo
 turno presidente dilma x aecio	neutro
fechou dilma aecio segundo turno	negativo
 caiu forninho dilma	neutro
urnas apuradas  dilma rousseff  pt  aecio neves  psdb  vao disputar segundo turno eleicoes presidenciais	negativo
kkkk pessoas q defendem dilma merda cabeca real  mulher n fez nada pais amor deus	positivo
dilma vc falhou	negativo
dilma aecio turno  ai cu  dilma nao pode ganhar galero	negativo
otarios fazem tudo fim votam dilma pictwitterefejfjt	neutro
aecio ganhar ferrou tudo  prefiro x tia dilma 	neutro
  tambem  ja viu escolas alguns lugares sao   enfim ta sacanagem votar dilma 	neutro
perdi dia pastel caldo cana pra ver dilma ganhando  porra	positivo
dilma subindo ainda  afazenda	positivo
turmo dilma aecio     dalhedilma nessa porrra pra fuder anos  antes dilma aecio 	positivo
queda livre x ascensao  segundo turno dilma aecio  nao dilma marina pesquisas sao furadas	positivo
chupaaaa dilma trouxa  aecio vai ganhar uhull	positivo
rica ja vazado daqui n vou ter aguentar dilma anos  vida deus	positivo
dilma cara porra  vai tomar cu kkkk	negativo
 dilma ja fez q queria brasil  chega pt	neutro
aecio segundo turno dilma   forapt 	negativo
engracado povo vota dilma reclama certas situacoes passam 	positivo
dilma aecio  turno  olha rapaz  vai ser loco	negativo
votem dilma votem dilma convencam todos votarem dilma d i l m 	neutro
acho castigo so porque falei nao votava dilma	neutro
so vendo tml gente vota citando protestos ano passado pra dilma 	neutro
dilma caralho  anos fez  porra nenhuma povo ainda voto nela 	negativo
importante eh bairro dilma n ganhou pena q n brasil	positivo
deve ser pais imaginario dilma pt nao vai ter segundo turno vai ter pra caralho  hahaahaahahaaahahaha	negativo
  urnas apuradas dilma rousseff    aecio neves    marina silva    luciana genro    pastor everaldo   	neutro
ainda falta apurar metade desse nordeste brasileiro vai eleger dilma  sai aecio pra la	positivo
aecio ganhar  ate marina serve  dilma filha capeta naooooo	positivo
  considerando ultima pesquisa ibope  dilma perdeu   disse votaria nela  brappnoticiaes peciaiseleicoes   internapolitica ibope aponta aecio contra 	neutro
vo discutindo vo causa dilma	neutro
aeeeee      aecio vs dilma	neutro
ceis ja imaginaram dilma reeleita vingando vaias copa 	neutro
turno dilma aecio  aaaah mlk	neutro
turno dilma aecio  mete pau nela aecio   	neutro
ehhhhhh dilma      moio      segura agora   	positivo
    turno eleicoes presidenciais definido dilma aecio dilma pra continuar crescendo  	neutro
segundo turno dilma aecio meeeeeerrrrrrreddddddaaaaaaa	neutro
dilma desgracada	neutro
   en un resultado inesperado  dilma y aecio neves van segunda vuelta en brasil pictwitterhenvoebakw  es increible	positivo
agora oficial dilma ficou apenas     acima aecio nao marina  aecio atual presidente brasil chega pt   	neutro
ai gente  nao votava dilma nao fez nada ate agora nao vai fazer proximo governo	neutro
 rj marina bem perto dilma votos  apoiar vai ser bem vindo kkkkk	positivo
dilma x aecio eita  aecio vc leva porra  foradilma forapt	negativo
vota aecio ai vem reclamar governo daqui  anos  assim dilma	neutro
ta decidido dilma porra otaria vaca odeio pega aecio segundo turno	negativo
menino aecio caminhando torar pesca dilma sendo turnors	neutro
alerta dilma rousseff y aecio neves van al ballottage en brasil  lnaruqanz	neutro
olha ai galera kkkkk    dilma ganha norte nordeste falar incentivar preconceito  entao processe	positivo
aecio dilma segundo turno   votem aeciooooooooooooo	neutro
ahhhhhhhhhhhhhhhhhhhh segundo turnooooo    agora venhaaa dilma  dale aecioooooooooooooooooooooooooo   	neutro
   foda dilma nao cara tia	neutro
nao to acreditando vou ter ter trabalho sair casa pra poder votar dilma aecio	neutro
sabiaaaa dilma x aecio  pt	neutro
segundo turno dilma aecio sinceramente povo brasileiro quer tomar cu msm emabiggestfansd	positivo
n acredito q vai ter aecio dilma segundo turno cade lulu genro rainha gente	negativo
 governo dilma passou longe perfeito  outros candidatos  poderia ser menos pior nao acha 	positivo
sei la vcs nao acha estranho dilma  ajudar paises comunistas	negativo
resultats dolents del pt tot arreu dilma va guanyar la primera volta amb    ara nomes   brasildecide	negativo
perguntar  pontos programa governo aecio vcs nao saberao responder pq importa dilma 	positivo
   urnas apuradas  dilma vai segundo turno aecio neves   pictwitteriunniatq 	negativo
havera  turno presidente  dilma rousseff obteve    aecio neves    eleicoes	neutro
aercio ser eleito sim  to cansada anos roubalheira dilma brasileiros burros	negativo
aecio x dilma	negativo
dilma aecio pro turno	neutro
tudo pra chegar hoje votarem dilma   pictwitterkkuswkyr	neutro
quer saber inferno anti petistas  segundo turno vou dilma	negativo
odeio dilma todas letras mano	negativo
fijate lo decia el diario clarin argentino  amigo oglobo brasilero brasildecide dilma     silva   pictwitterikdejxsym	neutro
agora vou ser obrigado votar dilma 	positivo
dilma x aecio segundo turno	neutro
agora oficial segundo turno dilma aecio agora ve vcs abrem olho votem aecio ja chega burrice	negativo
turno  dilma x aecio  	neutro
agora duvida firmou dilma x aecio to fodida	negativo
 culpa mano todas decisoes pais passam chefe poder executivo chamada dilma rousseff	neutro
votei dilma hoje	neutro
dilma rousseff le alcanzaron los votos y debera enfrentarse aecio neves el  octubre eleccionesbrasil  	neutro
q vota dilma agr ne pq aecio n daaaaaaahhh	neutro
olha aecio chegando olha dilma saindo sera     	neutro
dilma x aecio run to the hills 	neutro
aecio ganhar porra  vcs votarem dilma   brasil vai continuar msm  n adianta reclamar	positivo
gente  aecio dilma nivel  problema agora ver menos pior	negativo
antes dilma marina aecio dilma	neutro
defindo segundo turno dilma  aecio    uh huuuuuuuuuuuuuu   	neutro
 vota aecio miga  tira dilma	neutro
    band cientista politico falou so   vai ser distribuido aecio dilma	neutro
dilma poupou aecio  turno derrubar marina agora  vai enfrentar politico profissional  boa  	neutro
cra dilma reeleger ai vamo ta merda d vez   foradilma forapt	negativo
segundo turno dilma aecio oficial	neutro
aecio dilma mo segundo turno 	positivo
dilma aecio ta tudo otimo   imagina marina meio   deus q livre kkk	positivo
n gosto aecio dilma   faz 	neutro
 dilma con   aprox	neutro
dilma aecio caraca	neutro
segundo turno eleicoes presidenciais dilma  pt  x aecio  psdb 	negativo
pau cu destroi metade brasil justica clica porra maquina numero dilma vao fode	negativo
dilma aecio segundo turno agora quero ver merda vai dar	negativo
menos   dilma  marina euvoteimarina	negativo
moral   anos reclamando falando brasil lixo pra chegar hoje votar dentuca dilma	negativo
 burra pessoal acha aecio entrar lugar dilma grande avanco nao deve ser	positivo
voce acha nao poderia ficar pior dilma aecio segundo turno	negativo
vai burro  dilma eleita faco video  preciso externar raiva q desse povo  	negativo
resta vai dilma ganha pra mim	positivo
segundo turno definido dilma x aecio	neutro
entao vamo pro  turno povo  dilma x aecio 	neutro
 negocio pt tudo birrinha  sabe dilma melhor fica nessa so p ser contra 	positivo
brasil tera segundo turno dilma aercio	negativo
aecio ganhar  pq  qualquer coisa vai ser melhor dilma	positivo
matem  anotem dilma vai ganhar agora daqui anos lula ganha tbm dps anos reelege  anos puro pt hmm delicia	positivo
desde comeco eleicao contra aecio entao voto dilma ate fim	neutro
agora oficial segundo turno dilma aecio	negativo
brasileiro povo burro dilma indo pro segundo turno ganhando ainda	negativo
quero fazer csf  nojo  nojo voces votaram dilma so causa ciencia fronteiras	positivo
agr oficial  dilma aecio segundo turno	neutro
dilma aecio kkkkkkkk so rindo 	positivo
parabens burros votaram dilma aecio	neutro
 li gente falando tentou votar aecio apareceu dilma  tao trovando nao existe democracia agora 	neutro
voce defende dilma  va tomar c  espero q foda vida  	negativo
nao sei eh pior  aecio dilma brasil  excelente candidatos d smp p smp	positivo
segundo turno  dilma aecio 	positivo
aecio dilma  pulso cortar 	neutro
 pra dilma gosto aecio pena aqui minas nao fez nada	positivo
sera dilma aecio segundo turno abre olho  pt 	negativo
 funkyspyrousseff set to face brazil run off incumbent dilma rousseff has won most votes in brazils pr 	positivo
segundo turno sera dilma aecio eleicoes  	neutro
lixo aecio dilma turno marina pra ta ai	neutro
guria defende dilma dilma desse dinheiro p kkkkkkkk seila ne  vai sabe	neutro
marina disser apoia dilma   vou rir vida inteira uhahuauhuhauhauhahuauhhuahuauhauhauh xd	positivo
aecio q ganhar   anos dilma   deus meee livre	positivo
aecio q vencer  dilma novo nao	positivo
dilma aecio vao disputar segundo turno	neutro
 la va ganary dilma y el comunismo pasara ser historia en brasil	positivo
dilma aecio turno eh barraco	positivo
dilma vai ganhar povo tudo burro nao serve pra votar	positivo
nao sei pior dilma aecio affz ninguem merece 	negativo
serio gente  mineira to falando dilma aecio fiquem dilma 	negativo
bairro ta soltando fogos dilma estar  turno	neutro
dilma aecio segundo turno vou pra russia	negativo
dilma novo pra presidente  nao mereco	neutro
hm deve estar doendo cu dilma agora apuracao	neutro
 tao bom minas peso votou dilma	positivo
aecio forte esperado neste cenario  provavel dilma perca  turno	negativo
rede globo fez tanto pessoas odiarem pt dilma ta segundo turno kkkkkkkk	negativo
dilma nao pode ganhar serio	negativo
definido segundo turno dilma x aecio desanima ne  velha polarizacao	positivo
dilma aecio  lembre melhor diabo voce conhece povo ta achando nao pode piorar	positivo
prefiro marina aecio tbm  parece ser pior dilma   agr pqp votou dilma q tomar n cu bonito   desculpaaemae  	negativo
dilma aecio entao gente votem  amor deus	positivo
apurados   votos dilma   aecio   marina   luciana    outros menos 	negativo
povo mete ferros dilma   faz campanha contra  protestos rua ainda vota nela  brasileiro foder i	negativo
voto secreto  vou falar coisa votei ninguem presidente  digitei  segundo turno  qualquer menos dilma 	negativo
sabia dilma estaria frente	neutro
quero dizer dilma   tempo esgotou  candidata mudabrasil foradilma brasilsemdilma	negativo
quero ver segundo turno pegar fogo  aecio dilma   	neutro
 votou agora luciana pra apoiar sabia ia ter segundo turno vai votar dilma	negativo
 fracasso  paises chamados baleias sul pq tamo crescendo pra caralho   amo dilma vdd dita	positivo
deixa dilma anos pra vcs verem vai ta inflacao nao vai ter dinheiro pra comprar balinha foradilma	positivo
segundo turno acho dilma estrepa	negativo
vcs falando dilma permitiu comprar casa amiga permitiu tanto imposto pessoa morre pagando casa carro acordem	positivo
dilma aecio segundo turno  tipo	neutro
dilma aecio segundo turno   correr bicho pega   ficar bicho come	neutro
dilma    aecio    jesus  	positivo
  brasil   dilma     neves     marina	neutro
engracado argumento povo ai vcs ruas ano passado p votar dilma hoje querida presidente nao governa sozinho	positivo
  diferenca  segundo turno confirmado dilma aecio	positivo
oqq cabeca pessoa p votar dilma pezao	neutro
pronto  turno confirmado dilma x aecio	positivo
dilma x aecio  vamos pro segundo turno	neutro
oficial   segundo turno dilma rousseff     aecio neves     quase   urnas apuradas	neutro
agora q venca aecio   q dilma quatro anos nao vai dar certo  	positivo
votou marina vai votar dilma   votou namelia vai votar sartori   omg 	neutro
bora comecar campanha pra dilma segundo turno entao	negativo
dilma aecio  prefiro ficar presidente   	neutro
norte nordeste dilma minas gerais tambem	neutro
rt  dilma vai pedir voto marinista agora 	neutro
dilma x aecio todos juntos contra pt	neutro
nao acredito marina nao ta segundo turno ainda beleza  desde dilma perca	neutro
economia brasil ta tao boa dilma sobe pesquisas bovespa fecha baixa  vai la  vota nela	positivo
dilma rousseff aecio neves definidos  turno vou pensa votar	neutro
genteeeee to chaaaaao destruido vai ser aecio dilma ne putos	neutro
segundo turno aecio vai caca  chupa dilma   	negativo
 dilma   rum	neutro
presidencia        apurados  dilma      aecio      marina     	neutro
  aecio nao ganhara dilma muitos pensam	positivo
votarei dilma segundo turno	negativo
dilma aecio segundo turno  nao sei pior	negativo
aecio dilma votos estao segundo turno aecio aeciopresidente euvotoaecionoturno	negativo
   chega dilma vez todas vamosdeaecio  	neutro
dilma aecio vao disputar segundo turno	neutro
 la historiatambien decia q la diferencia d dilma con el mayoren defintiva las encuestas son  x  confiables 	positivo
tudo pra chegar votar dilma  pictwitterzngixfpzg	neutro
euvoteimarina infelizmente dilma vence facil  turno	positivo
dilma rousseff vai disputar segunda volta aecio neves	negativo
aecio dilma tudo mesma merda vamos votar nulo	negativo
 cruzeiro  ops dilma  qq	neutro
segundo turno dilma aecio ainda bem	neutro
atencao matematicamente definido  dilma aecio disputarao segundo turno elecoes	neutro
dilma vote 	neutro
acabou  dilma aecio	neutro
segundo turno pra presidencia dilma aecio puta pariu dois jeitos gente ta bosta	negativo
ja deu aecio dilma galerinhaaaaaa	neutro
vcs falam tanto aecio professores  dilma faz algo p valorizar servidores publicos 	positivo
povo fez protesto caralho ano passado  pra ano levar dilma pro segundo turno  puta pariu	negativo
dilma   aecio   marina   vontade conhecer idolos  	neutro
 vai pra segundo turno aecio dilma	neutro
  marina manda dilma ir cucuias  turma bando ladroes	neutro
povo segundo turno vai dar dilma rollemberg	neutro
rt  driver roll up to planalto please 	neutro
contar  q governo dilma deixou inflacao completamente abalada ainda age normal	positivo
segundo turno dilma aecio  	positivo
visto vou ter anular voto pra presidente segundo turno votar dilma aecio  hipocrisia grande rs tenso	negativo
definido dilma  pt  aecio  psdb  vao disputar segundo turno	negativo
    dilma ganhando estado q aecio aprovacao pfv explica q q aconteceu suica brasileira 	neutro
segundo turno dilma vs aecio	neutro
guerra declarada dilma aecio turno	neutro
segundo turno dilma x aecio comece peleja eleicoes	neutro
acho q  ate bom aecio ganhar  vcs perceberem q dilma n ruim comparado outros   anos p vcs perceberem tudo 	positivo
aecio dilma segundo turno  olha merda ai	negativo
 antes nao estaria preocupado  quica tricolor  bucha maximo tricolete anda histerico dilma	negativo
aecio dilma ficam logo dois piores puta pariu	negativo
filha puta aecio ta colado dilma	neutro
euvoteimarina tudo menos dilma	neutro
tanto dilma aecio neves marina silva comieron siete y pueden ir la concha bien su madre	neutro
definido  dia   dilma x aecio	positivo
dilma x aecio          turno          eleicoes	neutro
  urnas apuradas dilma   aecio   marina   	neutro
programas sociais tipo bolsa familia dilma garante votos classes d correspondem quanto 	positivo
serio dilma vai ganhar bosta novo    to acompanhando eleicoes merda 	positivo
 turno presidente  dilma aecio 	neutro
aaaaaaah deus dilma x aecio	neutro
 vai pro segundo turno aecio arrebenta dilma	negativo
 dilma  	neutro
segundo turno   dilma aecio senhora	neutro
sendo aecio dilma marina vai continuar mesma bosta vcs acham q tirar dilma vai revolucionar brasil 	negativo
confirmado dilma aecio  turno  eleicoes	positivo
serio alguem ficou surpreso dilma aecio segundo turno 	negativo
turno  dilma aecio forapt goaecio tiraelaporra	neutro
agora oficial segundo turno aecio dilma     deviradaaecio	neutro
turno dilma aecio	neutro
eleicoes estado dilma ganha aecio neves segue total urnas apuradas popmundi	positivo
achando q marina dilma segunndo turno triste  ai vc ve q vai aecio n marina pqp 	negativo
maioria povo ta tweetando rage nao sabe diferenca dentre dilma aecio	neutro
dilma aecio pro  turno	neutro
todas manifestacoes ainda votam dilma  iluminem ser humano desse	neutro
moral  voces sao burros p caralho  burros votou dilma 	negativo
ooooooo dilma manda cobertor orelha ai aver segundoturno voto p vc  frioooo pra raxa primahtt	negativo
oficial tambem  habemus  turno  dilma vs aecio	neutro
   tudo pra chegar hoje votar dilma  povo nao aprende	neutro
 dias li deus nao pra andar centro culpa dilma  quase comentei opa seguranca publica eh	neutro
dilma aecio  q merda politica	negativo
votei aecio to feliz pra crl  serio so pena saber q ainda gente q vota dilma   nao conformo	positivo
dilma  cada creche   estadios	neutro
brasileiro foder vao la po  fazer manifestacao novo votar dilma 	positivo
luciana genro votos dilma voces ainda querem acredite nesse pais 	neutro
dilma pimentel venceram  valeu verdade mobilizacao povo brasil     	neutro
segundo turno dilma aecio  chupaa marina 	negativo
votei dilma voces 	neutro
  agr fodeu td dilma aecio socorrro dilma nao queria competir aecio jksjak	neutro
dilma aecio  puta pariu	positivo
dilma  aecio  marina  henrique  kardec 	positivo
dilma va fude	neutro
dilma sapatao ganhou  cachorra	neutro
fechou dilma aecio segundo turno	negativo
confirmado segundo turno dilma x aecio	positivo
vai ser aecio x dilma 	positivo
 turno aecio dilma   	positivo
 vamos torcer pro povo q votou marina  luciana votarem dilma pq senao	neutro
fez cola tao bonita pro pessoal votar dilma	positivo
povo cabeca pra votar dilma        	neutro
marina    dilma    aecio    cpm    ben    onze    nx    blink    u   	neutro
confirmado dilma aecio vao pro segundo turno diferenca ridicula otimo	positivo
dilma aecio segundo turno  ja podemos entrar panico 	neutro
confirmado  aecio neles       agora bicho pegou dilma 	positivo
deu dilma novamente sabe pq  pq brasileiro gosta ser trouxa nao basta ser trouxa vez vai ser novo	neutro
voce votou  dilma  aecio  luciana  marina  cpm  blink  u  nx  hevo  m  maroon  sum 	neutro
 cris petista  distorce favor pt humano quero dizer  parte natureza humana louca lula dilma	negativo
dilma aecio segundo turno so faltava dilma vencer	positivo
alem q tirei   prova causa mal comida dilma	negativo
dilma aecio segundo turno pouco urnas apuradas	positivo
melhor coisa aecio  turno marina dilma preferiria morte lenta	positivo
dilma aecio definido segundo turno	neutro
dilma vence primeiro turno  aecio encosta perigosamente diferenca pouco  veja tempo  	positivo
atualizou agora sc elegeu dilma  bicha  senhora indecisa hein viado 	negativo
agora oficial infelizmentenaodeu marina silva segundo turno confirmado dilma aecio	negativo
la campaanti  dilma fue bestial  aprovecharon grandes escenarios ir en su contra	negativo
 yes  dilma bolada neles	neutro
acabou dilma x aecio	neutro
 vai social  vota dilma  vai lado economico  aecio	positivo
dios dilma	neutro
confirmado  turno dilma x aecio aecio	positivo
dilma  votos dilma   votos    urnas 	neutro
ja dilma   so aceita 	neutro
 concordo ctg  so queria falar contraste ensino demais ensinos publicos prefiro dilma aushuahauahs	negativo
quero saber ta feliz vitoria dilma     	positivo
segundo turno dilma x aecio	positivo
thankyoudforthewwat primeira vez vou votar dilma	positivo
dilma aecio segundo turno  vergonha  vergonha  v r g n h 	neutro
globo news oficializou dilma aecio segundo turno apertem cintos  aeciodevirada	negativo
 ala confirmado segundo turno dilma aecio  sim estao falando  vaiaram manifestacao etc so votam nela	positivo
acha certo votar dilma   fdp 	positivo
 turno dilma x aecio votem aecio   obrigada  nada	neutro
dilma acaba pernilongo ninguem aguenta mai	positivo
dilma aecio segundo turno  voto ja aecio espero ganhe	positivo
dilma aecio  turno to catando terco aqui	neutro
definido segundo turno dilma x aecio	neutro
daonde surgiu todo povo votou aecio  porque votaram aecio    gente particularmente prefiro dilma 	positivo
pessoas votaram marina falando mal votaram dilma   mesma coisa sujo falando mal lavado	negativo
rj rs tbm votaram dilma  nao so nordeste nao votadores tiririca	neutro
kkkkkkkk raca reclamando  porem aecio humilhou dilma sc	neutro
  nenhum outro euzinha  realmente nao reclamar dilma 	positivo
cidadao brasileiro defendendo dilma militante defende jose dirceu viva alienacao pt 	positivo
 turno  dilma aecio neves aeeeeeeee 	neutro
eita porra ja alo alo votem dilma amor deus amigos favor	positivo
dilma ganhando   cade povo q tava chingando copa 	negativo
 turno  dilma aecio foradilma	neutro
vou matar dilma aecio antes segundo turno     vontade cuspir cara 	neutro
romario pezao dilma aecio jesus ja pode voltar  eleicoes eleicoesrj rj	neutro
nao entendo pra tanto protesto votaram tudo dilma novo affs partiuafundarbrasil	positivo
povo burro  idiota  coerencia     povo vem reclamando protestando  anos sobre governo dilma   ai   	negativo
fechou dilma x aecio	negativo
parar pra pensar   dilma aecio estao segundo turno   votou marina   vai votar aecio    	negativo
ruim dilma   pior t r i s	negativo
dilma partido malandro pode ate ganhar  maioria congresso    sentindo aliviada	positivo
brasil  pais onde pessoas fodem nao aprendem  legal elegerem dilma novo parabens pra voces viu 	positivo
salve corrupcao  outro privatizacao dilma aecio  	neutro
confirmado    turno presidencial dilma  pt  x aecio neves  psdb     	positivo
nao acredito dilma vai ganhar	positivo
dilma aecio turno oficial	neutro
   clarin empate tecnico marina silva y dilma en brasil  clarinmundoencuesta  ibope empate segunda vuelta marina dilma elecciones brasil   clarinete ibope y afp todos choros	negativo
nao votem dilma cuzao	neutro
dilma aecio segundo turno certeza deus segura pais	positivo
dilma   aecio  	positivo
gente segundo turno dilma aecio  virada 	neutro
turno dilma aecio	neutro
vamos ser realistas ne mores  dilma vai ganhar pq infelizmente maioria vota nela	positivo
puta pariuu   povo burro    turno dilma aecio pqp tmc	negativo
dilma votos sao paulo vai ver porque governo excelente ne	positivo
segundo turno definido dilma x aecio  	neutro
exterior  aecio      marina      dilma     	neutro
voto aecio pra nao votar dilma	negativo
 turno dilma x aecio	neutro
segundoturno dilma aecio	positivo
idiota dilma nao pode ganhar	negativo
quero ver aecio sendo presidente so pra ver dilma tomar cu	neutro
okay  segundo turno dilma aecio  vamos la ne	positivo
 dilma menos pior favor	negativo
rt   confirmado  turno dilma aecio	positivo
aecio dilma  posso matar 	neutro
dilma ta ganhando  zzzzzz	neutro
tanto faz ganhar dilma aecio  so espero facam alguma coisa melhore brasil servicos publicos	positivo
segundo turno dilma aecio    	negativo
nao dilma sim totalmente anti aecio	negativo
endeusam dilma causa bolsa familia  verdade  criou fhc	neutro
vaias xingamentos contra dilma   copa aqui votaram nela    vai entender povo  	neutro
 eduardo jorge rainha  dilma aecio nadinha                                 	neutro
entao gente  tchau segundo turno aecio dilma confirmados pode deitar chao chorar ja	positivo
nao acredito tudo brasileiros votaram dilma	neutro
tias votaram dilma motivos casa vida	neutro
vai ter segundo turno vamo vamo  dilma 	neutro
nunca confie pesquisas    partiu velorio dilma  chuuuuupa dilmaaaaaaaa bruxa  	neutro
 turno dilma aecio kakakaka	neutro
chora dilma aecio segundo turno	neutro
fala serio  aecio dilma n sei pior	negativo
  turno dilma aecio zzzzz	neutro
oficial dilma aecio segundo turno	neutro
dilma aecio vao disputar segundo turno 	neutro
rede b eleicoes dilma roussef aecio neves irao  turno  ate momento apurados   urnas   	neutro
dilma segundo turno aecio  vou rir qlqr dois ganharem  ainda dilma 	positivo
nao acredito povo pra rua protestou  falou q pais ta lixo agr votaram dilma  seadilmaganharosonibusvaoqueimar	negativo
dilma aecio brasil merece viu povo nao aprende    	neutro
dilma vai ser presidenta novo caostotal	positivo
tudo pra chegar hoje votar dilma   ta louco	negativo
dilma aecio turno	neutro
nao dar entender povo brasileiro   faz protesto   quebra porra toda dps vota dilma pera ai ne     	negativo
agora marina silva apoia dilma   aecio vai ficar neutra 	neutro
boca urna ibope mostra turno sera dilma aecio  msnpt brbbhn i  aecio neves dilma vai ver bom  	neutro
